CBSA Title,Metropolitan/Micropolitan Statistical Area,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County,FIPS_5
"Albertville, AL",Micropolitan Statistical Area,Marshall County,Alabama,1,95,Central,1095
"Alexander City, AL",Micropolitan Statistical Area,Tallapoosa County,Alabama,1,123,Central,1123
"Anniston-Oxford-Jacksonville, AL",Metropolitan Statistical Area,Calhoun County,Alabama,1,15,Central,1015
"Atmore, AL",Micropolitan Statistical Area,Escambia County,Alabama,1,53,Central,1053
"Auburn-Opelika, AL",Metropolitan Statistical Area,Lee County,Alabama,1,81,Central,1081
"Birmingham-Hoover, AL",Metropolitan Statistical Area,Bibb County,Alabama,1,7,Outlying,1007
"Birmingham-Hoover, AL",Metropolitan Statistical Area,Blount County,Alabama,1,9,Outlying,1009
"Birmingham-Hoover, AL",Metropolitan Statistical Area,Chilton County,Alabama,1,21,Outlying,1021
"Birmingham-Hoover, AL",Metropolitan Statistical Area,Jefferson County,Alabama,1,73,Central,1073
"Birmingham-Hoover, AL",Metropolitan Statistical Area,St. Clair County,Alabama,1,115,Outlying,1115
"Birmingham-Hoover, AL",Metropolitan Statistical Area,Shelby County,Alabama,1,117,Central,1117
"Birmingham-Hoover, AL",Metropolitan Statistical Area,Walker County,Alabama,1,127,Outlying,1127
"Columbus, GA-AL",Metropolitan Statistical Area,Russell County,Alabama,1,113,Central,1113
"Cullman, AL",Micropolitan Statistical Area,Cullman County,Alabama,1,43,Central,1043
"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,Baldwin County,Alabama,1,3,Central,1003
"Decatur, AL",Metropolitan Statistical Area,Lawrence County,Alabama,1,79,Outlying,1079
"Decatur, AL",Metropolitan Statistical Area,Morgan County,Alabama,1,103,Central,1103
"Dothan, AL",Metropolitan Statistical Area,Geneva County,Alabama,1,61,Outlying,1061
"Dothan, AL",Metropolitan Statistical Area,Henry County,Alabama,1,67,Outlying,1067
"Dothan, AL",Metropolitan Statistical Area,Houston County,Alabama,1,69,Central,1069
"Enterprise, AL",Micropolitan Statistical Area,Coffee County,Alabama,1,31,Central,1031
"Eufaula, AL-GA",Micropolitan Statistical Area,Barbour County,Alabama,1,5,Central,1005
"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,Colbert County,Alabama,1,33,Central,1033
"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,Lauderdale County,Alabama,1,77,Central,1077
"Fort Payne, AL",Micropolitan Statistical Area,DeKalb County,Alabama,1,49,Central,1049
