"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	99	8556	1157.1
	"< 1 year"	"1"	"2000"	"2000"	98	8562	1144.6
	"< 1 year"	"1"	"2001"	"2001"	111	9112	1218.2
	"< 1 year"	"1"	"2002"	"2002"	112	8852	1265.3
	"< 1 year"	"1"	"2003"	"2003"	116	8489	1366.5
	"< 1 year"	"1"	"2004"	"2004"	116	8533	1359.4
	"< 1 year"	"1"	"2005"	"2005"	75	8492	883.2
	"< 1 year"	"1"	"2006"	"2006"	62	3588	1728.0
	"< 1 year"	"1"	"2007"	"2007"	69	5431	1270.5
	"< 1 year"	"1"	"2008"	"2008"	62	6207	998.9
	"< 1 year"	"1"	"2009"	"2009"	76	6248	1216.4
	"< 1 year"	"1"	"2010"	"2010"	52	6259	830.8
	"< 1 year"	"1"	"2011"	"2011"	77	6318	1218.7
	"< 1 year"	"1"	"2012"	"2012"	71	6378	1113.2
	"< 1 year"	"1"	"2013"	"2013"	75	6036	1242.5
	"< 1 year"	"1"	"2014"	"2014"	53	6058	874.9
	"< 1 year"	"1"	"2015"	"2015"	67	6147	1090.0
	"< 1 year"	"1"	"2016"	"2016"	56	6155	909.8
	"< 1 year"	"1"	"2017"	"2017"	45	6078	740.4
	"< 1 year"	"1"	"2018"	"2018"	45	5780	778.5
	"1-4 years"	"1-4"	"1999"	"1999"	26	34436	75.5
	"1-4 years"	"1-4"	"2000"	"2000"	24	34452	69.7
	"1-4 years"	"1-4"	"2001"	"2001"	18	34395	Unreliable
	"1-4 years"	"1-4"	"2002"	"2002"	30	35201	85.2
	"1-4 years"	"1-4"	"2003"	"2003"	16	35560	Unreliable
	"1-4 years"	"1-4"	"2004"	"2004"	14	35842	Unreliable
	"1-4 years"	"1-4"	"2005"	"2005"	21	36177	58.0
	"1-4 years"	"1-4"	"2007"	"2007"	11	22492	Unreliable
	"1-4 years"	"1-4"	"2008"	"2008"	20	24349	82.1
	"1-4 years"	"1-4"	"2009"	"2009"	16	25933	Unreliable
	"1-4 years"	"1-4"	"2010"	"2010"	10	26745	Unreliable
	"1-4 years"	"1-4"	"2011"	"2011"	11	26726	Unreliable
	"1-4 years"	"1-4"	"2012"	"2012"	11	26789	Unreliable
	"1-4 years"	"1-4"	"2013"	"2013"	12	25389	Unreliable
	"1-4 years"	"1-4"	"2014"	"2014"	18	24890	Unreliable
	"1-4 years"	"1-4"	"2015"	"2015"	12	24876	Unreliable
	"1-4 years"	"1-4"	"2016"	"2016"	17	24466	Unreliable
	"1-4 years"	"1-4"	"2017"	"2017"	14	24799	Unreliable
	"1-4 years"	"1-4"	"2018"	"2018"	10	24623	Unreliable
	"5-14 years"	"5-14"	"1999"	"1999"	36	96324	37.4
	"5-14 years"	"5-14"	"2000"	"2000"	34	96256	35.3
	"5-14 years"	"5-14"	"2001"	"2001"	18	95129	Unreliable
	"5-14 years"	"5-14"	"2002"	"2002"	32	94139	34.0
	"5-14 years"	"5-14"	"2003"	"2003"	33	93618	35.2
	"5-14 years"	"5-14"	"2004"	"2004"	22	92722	23.7
	"5-14 years"	"5-14"	"2005"	"2005"	38	91288	41.6
	"5-14 years"	"5-14"	"2006"	"2006"	21	52746	39.8
	"5-14 years"	"5-14"	"2008"	"2008"	17	61431	Unreliable
	"5-14 years"	"5-14"	"2009"	"2009"	24	62491	38.4
	"5-14 years"	"5-14"	"2011"	"2011"	22	64483	34.1
	"5-14 years"	"5-14"	"2012"	"2012"	18	66336	Unreliable
	"5-14 years"	"5-14"	"2013"	"2013"	10	66324	Unreliable
