"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	153	18580	823.5
	"< 1 year"	"1"	"2000"	"2000"	139	18402	755.4
	"< 1 year"	"1"	"2001"	"2001"	168	19104	879.4
	"< 1 year"	"1"	"2002"	"2002"	185	18827	982.6
	"< 1 year"	"1"	"2003"	"2003"	179	18489	968.1
	"< 1 year"	"1"	"2004"	"2004"	203	18773	1081.3
	"< 1 year"	"1"	"2005"	"2005"	129	18449	699.2
	"< 1 year"	"1"	"2006"	"2006"	119	10655	1116.8
	"< 1 year"	"1"	"2007"	"2007"	132	15169	870.2
	"< 1 year"	"1"	"2008"	"2008"	125	16469	759.0
	"< 1 year"	"1"	"2009"	"2009"	126	15596	807.9
	"< 1 year"	"1"	"2010"	"2010"	85	15158	560.8
	"< 1 year"	"1"	"2011"	"2011"	125	15887	786.8
	"< 1 year"	"1"	"2012"	"2012"	121	15778	766.9
	"< 1 year"	"1"	"2013"	"2013"	117	15327	763.4
	"< 1 year"	"1"	"2014"	"2014"	99	15508	638.4
	"< 1 year"	"1"	"2015"	"2015"	115	15830	726.5
	"< 1 year"	"1"	"2016"	"2016"	97	16189	599.2
	"< 1 year"	"1"	"2017"	"2017"	82	16244	504.8
	"< 1 year"	"1"	"2018"	"2018"	100	15585	641.6
"Total"	"< 1 year"	"1"			2599	330019	787.5
	"1-4 years"	"1-4"	"1999"	"1999"	38	73786	51.5
	"1-4 years"	"1-4"	"2000"	"2000"	32	73552	43.5
	"1-4 years"	"1-4"	"2001"	"2001"	36	73071	49.3
	"1-4 years"	"1-4"	"2002"	"2002"	43	74105	58.0
	"1-4 years"	"1-4"	"2003"	"2003"	23	75040	30.7
	"1-4 years"	"1-4"	"2004"	"2004"	21	75737	27.7
	"1-4 years"	"1-4"	"2005"	"2005"	35	76583	45.7
	"1-4 years"	"1-4"	"2006"	"2006"	20	52121	38.4
	"1-4 years"	"1-4"	"2007"	"2007"	20	55040	36.3
	"1-4 years"	"1-4"	"2008"	"2008"	29	59035	49.1
	"1-4 years"	"1-4"	"2009"	"2009"	22	61888	35.5
	"1-4 years"	"1-4"	"2010"	"2010"	15	63521	Unreliable
	"1-4 years"	"1-4"	"2011"	"2011"	17	64344	Unreliable
	"1-4 years"	"1-4"	"2012"	"2012"	20	64336	31.1
	"1-4 years"	"1-4"	"2013"	"2013"	13	62345	Unreliable
	"1-4 years"	"1-4"	"2014"	"2014"	31	62127	49.9
	"1-4 years"	"1-4"	"2015"	"2015"	22	62510	35.2
	"1-4 years"	"1-4"	"2016"	"2016"	25	62387	40.1
	"1-4 years"	"1-4"	"2017"	"2017"	21	63720	33.0
	"1-4 years"	"1-4"	"2018"	"2018"	23	63922	36.0
"Total"	"1-4 years"	"1-4"			506	1319170	38.4
	"5-14 years"	"5-14"	"1999"	"1999"	51	204379	25.0
	"5-14 years"	"5-14"	"2000"	"2000"	49	203091	24.1
	"5-14 years"	"5-14"	"2001"	"2001"	41	199810	20.5
	"5-14 years"	"5-14"	"2002"	"2002"	53	197622	26.8
	"5-14 years"	"5-14"	"2003"	"2003"	43	196224	21.9
	"5-14 years"	"5-14"	"2004"	"2004"	46	194417	23.7
	"5-14 years"	"5-14"	"2005"	"2005"	57	192146	29.7
	"5-14 years"	"5-14"	"2006"	"2006"	37	134635	27.5
	"5-14 years"	"5-14"	"2007"	"2007"	24	142624	16.8
	"5-14 years"	"5-14"	"2008"	"2008"	30	146799	20.4
	"5-14 years"	"5-14"	"2009"	"2009"	36	149570	24.1
	"5-14 years"	"5-14"	"2010"	"2010"	24	151447	15.8
	"5-14 years"	"5-14"	"2011"	"2011"	33	154603	21.3
	"5-14 years"	"5-14"	"2012"	"2012"	28	156930	17.8
	"5-14 years"	"5-14"	"2013"	"2013"	18	157669	Unreliable
	"5-14 years"	"5-14"	"2014"	"2014"	21	157960	13.3
	"5-14 years"	"5-14"	"2015"	"2015"	28	157805	17.7
	"5-14 years"	"5-14"	"2016"	"2016"	30	158294	19.0
	"5-14 years"	"5-14"	"2017"	"2017"	20	157554	12.7
	"5-14 years"	"5-14"	"2018"	"2018"	32	156655	20.4
"Total"	"5-14 years"	"5-14"			701	3370234	20.8
	"15-24 years"	"15-24"	"1999"	"1999"	223	193697	115.1
	"15-24 years"	"15-24"	"2000"	"2000"	255	192885	132.2
	"15-24 years"	"15-24"	"2001"	"2001"	269	194985	138.0
	"15-24 years"	"15-24"	"2002"	"2002"	300	196986	152.3
	"15-24 years"	"15-24"	"2003"	"2003"	267	198464	134.5
	"15-24 years"	"15-24"	"2004"	"2004"	350	200246	174.8
	"15-24 years"	"15-24"	"2005"	"2005"	311	199766	155.7
	"15-24 years"	"15-24"	"2006"	"2006"	248	143896	172.3
	"15-24 years"	"15-24"	"2007"	"2007"	259	155001	167.1
	"15-24 years"	"15-24"	"2008"	"2008"	257	160329	160.3
	"15-24 years"	"15-24"	"2009"	"2009"	212	164101	129.2
	"15-24 years"	"15-24"	"2010"	"2010"	194	165898	116.9
	"15-24 years"	"15-24"	"2011"	"2011"	229	162854	140.6
	"15-24 years"	"15-24"	"2012"	"2012"	200	161659	123.7
	"15-24 years"	"15-24"	"2013"	"2013"	208	160242	129.8
	"15-24 years"	"15-24"	"2014"	"2014"	182	158547	114.8
	"15-24 years"	"15-24"	"2015"	"2015"	165	156526	105.4
	"15-24 years"	"15-24"	"2016"	"2016"	181	153433	118.0
