"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	46	8664	530.9
	"< 1 year"	"1"	"2000"	"2000"	36	8484	424.3
	"< 1 year"	"1"	"2001"	"2001"	45	8359	538.3
	"< 1 year"	"1"	"2002"	"2002"	61	8173	746.4
	"< 1 year"	"1"	"2003"	"2003"	45	8397	535.9
	"< 1 year"	"1"	"2004"	"2004"	75	8260	908.0
	"< 1 year"	"1"	"2005"	"2005"	39	7799	500.1
	"< 1 year"	"1"	"2006"	"2006"	48	5611	855.5
	"< 1 year"	"1"	"2007"	"2007"	45	7147	629.6
	"< 1 year"	"1"	"2008"	"2008"	50	7039	710.3
	"< 1 year"	"1"	"2009"	"2009"	43	6542	657.3
	"< 1 year"	"1"	"2010"	"2010"	30	6587	455.4
	"< 1 year"	"1"	"2011"	"2011"	41	7101	577.4
	"< 1 year"	"1"	"2012"	"2012"	38	7103	535.0
	"< 1 year"	"1"	"2013"	"2013"	28	6856	408.4
	"< 1 year"	"1"	"2014"	"2014"	37	6901	536.2
	"< 1 year"	"1"	"2015"	"2015"	35	7124	491.3
	"< 1 year"	"1"	"2016"	"2016"	28	7184	389.8
	"< 1 year"	"1"	"2017"	"2017"	20	7120	280.9
	"< 1 year"	"1"	"2018"	"2018"	41	6862	597.5
"Total"	"< 1 year"	"1"			831	147313	564.1
	"1-4 years"	"1-4"	"2001"	"2001"	17	33057	Unreliable
	"1-4 years"	"1-4"	"2002"	"2002"	11	33015	Unreliable
"Total"	"1-4 years"	"1-4"			142	590975	24.0
	"5-14 years"	"5-14"	"1999"	"1999"	14	94159	Unreliable
	"5-14 years"	"5-14"	"2000"	"2000"	14	92793	Unreliable
	"5-14 years"	"5-14"	"2001"	"2001"	21	90542	23.2
	"5-14 years"	"5-14"	"2002"	"2002"	21	89125	23.6
	"5-14 years"	"5-14"	"2004"	"2004"	19	86796	Unreliable
	"5-14 years"	"5-14"	"2005"	"2005"	16	85487	Unreliable
	"5-14 years"	"5-14"	"2006"	"2006"	15	69377	Unreliable
	"5-14 years"	"5-14"	"2007"	"2007"	15	70078	Unreliable
	"5-14 years"	"5-14"	"2008"	"2008"	12	70722	Unreliable
	"5-14 years"	"5-14"	"2009"	"2009"	11	71530	Unreliable
	"5-14 years"	"5-14"	"2010"	"2010"	14	71999	Unreliable
	"5-14 years"	"5-14"	"2018"	"2018"	11	68748	Unreliable
"Total"	"5-14 years"	"5-14"			240	1550058	15.5
	"15-24 years"	"15-24"	"1999"	"1999"	74	91861	80.6
	"15-24 years"	"15-24"	"2000"	"2000"	76	90876	83.6
	"15-24 years"	"15-24"	"2001"	"2001"	91	90800	100.2
	"15-24 years"	"15-24"	"2002"	"2002"	133	90951	146.2
	"15-24 years"	"15-24"	"2003"	"2003"	89	91007	97.8
	"15-24 years"	"15-24"	"2004"	"2004"	136	91151	149.2
	"15-24 years"	"15-24"	"2005"	"2005"	87	90056	96.6
	"15-24 years"	"15-24"	"2006"	"2006"	84	74298	113.1
	"15-24 years"	"15-24"	"2007"	"2007"	99	75618	130.9
	"15-24 years"	"15-24"	"2008"	"2008"	92	76090	120.9
	"15-24 years"	"15-24"	"2009"	"2009"	71	76226	93.1
	"15-24 years"	"15-24"	"2010"	"2010"	60	76378	78.6
	"15-24 years"	"15-24"	"2011"	"2011"	70	74668	93.7
	"15-24 years"	"15-24"	"2012"	"2012"	63	73807	85.4
	"15-24 years"	"15-24"	"2013"	"2013"	56	72965	76.7
	"15-24 years"	"15-24"	"2014"	"2014"	69	72225	95.5
	"15-24 years"	"15-24"	"2015"	"2015"	45	70884	63.5
	"15-24 years"	"15-24"	"2016"	"2016"	62	69206	89.6
	"15-24 years"	"15-24"	"2017"	"2017"	64	67884	94.3
	"15-24 years"	"15-24"	"2018"	"2018"	76	66671	114.0
"Total"	"15-24 years"	"15-24"			1597	1583622	100.8
	"25-34 years"	"25-34"	"1999"	"1999"	113	102769	110.0
	"25-34 years"	"25-34"	"2000"	"2000"	136	100218	135.7
	"25-34 years"	"25-34"	"2001"	"2001"	136	96706	140.6
	"25-34 years"	"25-34"	"2002"	"2002"	149	95310	156.3
	"25-34 years"	"25-34"	"2003"	"2003"	134	94231	142.2
	"25-34 years"	"25-34"	"2004"	"2004"	154	94228	163.4
	"25-34 years"	"25-34"	"2005"	"2005"	148	93723	157.9
	"25-34 years"	"25-34"	"2006"	"2006"	134	73485	182.4
	"25-34 years"	"25-34"	"2007"	"2007"	144	75803	190.0
	"25-34 years"	"25-34"	"2008"	"2008"	120	78982	151.9
	"25-34 years"	"25-34"	"2009"	"2009"	115	83094	138.4
	"25-34 years"	"25-34"	"2010"	"2010"	105	86498	121.4
	"25-34 years"	"25-34"	"2011"	"2011"	126	89891	140.2
	"25-34 years"	"25-34"	"2012"	"2012"	134	91995	145.7
	"25-34 years"	"25-34"	"2013"	"2013"	145	94346	153.7
	"25-34 years"	"25-34"	"2014"	"2014"	153	95184	160.7
	"25-34 years"	"25-34"	"2015"	"2015"	128	96201	133.1
	"25-34 years"	"25-34"	"2016"	"2016"	161	96418	167.0
	"25-34 years"	"25-34"	"2017"	"2017"	164	94744	173.1
	"25-34 years"	"25-34"	"2018"	"2018"	153	91864	166.6
"Total"	"25-34 years"	"25-34"			2752	1825690	150.7
	"35-44 years"	"35-44"	"1999"	"1999"	297	125559	236.5
	"35-44 years"	"35-44"	"2000"	"2000"	282	123385	228.6
	"35-44 years"	"35-44"	"2001"	"2001"	290	120617	240.4
