"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	8589	568719	1510.2
	"< 1 year"	"1"	"2000"	"2000"	8525	576855	1477.8
	"< 1 year"	"1"	"2001"	"2001"	8277	602743	1373.2
	"< 1 year"	"1"	"2002"	"2002"	8284	587636	1409.7
	"< 1 year"	"1"	"2003"	"2003"	8159	577488	1412.8
	"< 1 year"	"1"	"2004"	"2004"	8221	580786	1415.5
	"< 1 year"	"1"	"2005"	"2005"	8335	582049	1432.0
	"< 1 year"	"1"	"2006"	"2006"	8507	594521	1430.9
	"< 1 year"	"1"	"2007"	"2007"	8629	625245	1380.1
	"< 1 year"	"1"	"2008"	"2008"	8187	626799	1306.2
	"< 1 year"	"1"	"2009"	"2009"	7967	615275	1294.9
	"< 1 year"	"1"	"2010"	"2010"	7071	604166	1170.4
	"< 1 year"	"1"	"2011"	"2011"	6979	616886	1131.3
	"< 1 year"	"1"	"2012"	"2012"	6765	608582	1111.6
	"< 1 year"	"1"	"2013"	"2013"	6781	606894	1117.3
	"< 1 year"	"1"	"2014"	"2014"	6698	608099	1101.5
	"< 1 year"	"1"	"2015"	"2015"	6907	614972	1123.1
	"< 1 year"	"1"	"2016"	"2016"	6863	610153	1124.8
	"< 1 year"	"1"	"2017"	"2017"	6730	605983	1110.6
	"< 1 year"	"1"	"2018"	"2018"	6356	591754	1074.1
"Total"	"< 1 year"	"1"			152830	12005605	1273.0
	"1-4 years"	"1-4"	"1999"	"1999"	1283	2350302	54.6
	"1-4 years"	"1-4"	"2000"	"2000"	1217	2354541	51.7
	"1-4 years"	"1-4"	"2001"	"2001"	1156	2328462	49.6
	"1-4 years"	"1-4"	"2002"	"2002"	1163	2345595	49.6
	"1-4 years"	"1-4"	"2003"	"2003"	1169	2349276	49.8
	"1-4 years"	"1-4"	"2004"	"2004"	1128	2350360	48.0
	"1-4 years"	"1-4"	"2005"	"2005"	1065	2352078	45.3
	"1-4 years"	"1-4"	"2006"	"2006"	1108	2335392	47.4
	"1-4 years"	"1-4"	"2007"	"2007"	1102	2345908	47.0
	"1-4 years"	"1-4"	"2008"	"2008"	1076	2396818	44.9
	"1-4 years"	"1-4"	"2009"	"2009"	1039	2445947	42.5
	"1-4 years"	"1-4"	"2010"	"2010"	993	2472609	40.2
	"1-4 years"	"1-4"	"2011"	"2011"	1011	2477011	40.8
	"1-4 years"	"1-4"	"2012"	"2012"	989	2463458	40.1
	"1-4 years"	"1-4"	"2013"	"2013"	963	2440144	39.5
	"1-4 years"	"1-4"	"2014"	"2014"	967	2439776	39.6
	"1-4 years"	"1-4"	"2015"	"2015"	1016	2442213	41.6
	"1-4 years"	"1-4"	"2016"	"2016"	1016	2447475	41.5
	"1-4 years"	"1-4"	"2017"	"2017"	985	2453540	40.1
	"1-4 years"	"1-4"	"2018"	"2018"	975	2447225	39.8
"Total"	"1-4 years"	"1-4"			21421	48038130	44.6
	"5-14 years"	"5-14"	"1999"	"1999"	1771	6434220	27.5
	"5-14 years"	"5-14"	"2000"	"2000"	1620	6479803	25.0
	"5-14 years"	"5-14"	"2001"	"2001"	1557	6507128	23.9
	"5-14 years"	"5-14"	"2002"	"2002"	1634	6508441	25.1
	"5-14 years"	"5-14"	"2003"	"2003"	1530	6491010	23.6
	"5-14 years"	"5-14"	"2004"	"2004"	1551	6441175	24.1
	"5-14 years"	"5-14"	"2005"	"2005"	1500	6359425	23.6
	"5-14 years"	"5-14"	"2006"	"2006"	1361	6309911	21.6
	"5-14 years"	"5-14"	"2007"	"2007"	1335	6256417	21.3
	"5-14 years"	"5-14"	"2008"	"2008"	1258	6200890	20.3
	"5-14 years"	"5-14"	"2009"	"2009"	1266	6173040	20.5
	"5-14 years"	"5-14"	"2010"	"2010"	1118	6166815	18.1
	"5-14 years"	"5-14"	"2011"	"2011"	1150	6154897	18.7
	"5-14 years"	"5-14"	"2012"	"2012"	1155	6175002	18.7
	"5-14 years"	"5-14"	"2013"	"2013"	1132	6188713	18.3
	"5-14 years"	"5-14"	"2014"	"2014"	1162	6197603	18.7
	"5-14 years"	"5-14"	"2015"	"2015"	1187	6180277	19.2
	"5-14 years"	"5-14"	"2016"	"2016"	1233	6173914	20.0
	"5-14 years"	"5-14"	"2017"	"2017"	1296	6192071	20.9
	"5-14 years"	"5-14"	"2018"	"2018"	1321	6217144	21.2
"Total"	"5-14 years"	"5-14"			27137	125807896	21.6
	"15-24 years"	"15-24"	"1999"	"1999"	6980	5560918	125.5
	"15-24 years"	"15-24"	"2000"	"2000"	6926	5622337	123.2
	"15-24 years"	"15-24"	"2001"	"2001"	7024	5795111	121.2
