"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	27937	3795762	736.0
	"< 1 year"	"1"	"2000"	"2000"	28035	3805648	736.7
	"< 1 year"	"1"	"2001"	"2001"	27568	4012658	687.0
	"< 1 year"	"1"	"2002"	"2002"	28034	3951461	709.5
	"< 1 year"	"1"	"2003"	"2003"	28025	3975871	704.9
	"< 1 year"	"1"	"2004"	"2004"	27936	4014258	695.9
	"< 1 year"	"1"	"2005"	"2005"	28440	4004393	710.2
	"< 1 year"	"1"	"2006"	"2006"	28527	4041738	705.8
	"< 1 year"	"1"	"2007"	"2007"	29138	4147997	702.5
	"< 1 year"	"1"	"2008"	"2008"	28059	4132735	678.9
	"< 1 year"	"1"	"2009"	"2009"	26412	4003587	659.7
	"< 1 year"	"1"	"2010"	"2010"	24586	3944153	623.4
	"< 1 year"	"1"	"2011"	"2011"	23985	3996537	600.1
	"< 1 year"	"1"	"2012"	"2012"	23629	3943077	599.3
	"< 1 year"	"1"	"2013"	"2013"	23440	3941783	594.7
	"< 1 year"	"1"	"2014"	"2014"	23215	3948350	588.0
	"< 1 year"	"1"	"2015"	"2015"	23455	3978038	589.6
	"< 1 year"	"1"	"2016"	"2016"	23161	3970145	583.4
	"< 1 year"	"1"	"2017"	"2017"	22335	3939295	567.0
	"< 1 year"	"1"	"2018"	"2018"	21467	3848208	557.8
"Total"	"< 1 year"	"1"			517384	79395694	651.7
	"1-4 years"	"1-4"	"1999"	"1999"	5249	15339782	34.2
	"1-4 years"	"1-4"	"2000"	"2000"	4979	15370150	32.4
	"1-4 years"	"1-4"	"2001"	"2001"	5107	15285559	33.4
	"1-4 years"	"1-4"	"2002"	"2002"	4858	15477731	31.4
	"1-4 years"	"1-4"	"2003"	"2003"	4965	15616575	31.8
	"1-4 years"	"1-4"	"2004"	"2004"	4785	15771627	30.3
	"1-4 years"	"1-4"	"2005"	"2005"	4756	15913007	29.9
	"1-4 years"	"1-4"	"2006"	"2006"	4631	15897145	29.1
	"1-4 years"	"1-4"	"2007"	"2007"	4703	15977965	29.4
	"1-4 years"	"1-4"	"2008"	"2008"	4730	16138392	29.3
	"1-4 years"	"1-4"	"2009"	"2009"	4450	16240931	27.4
	"1-4 years"	"1-4"	"2010"	"2010"	4316	16257209	26.5
	"1-4 years"	"1-4"	"2011"	"2011"	4246	16165521	26.3
	"1-4 years"	"1-4"	"2012"	"2012"	4218	16056267	26.3
	"1-4 years"	"1-4"	"2013"	"2013"	4068	15926305	25.5
	"1-4 years"	"1-4"	"2014"	"2014"	3830	15928533	24.0
	"1-4 years"	"1-4"	"2015"	"2015"	3965	15929243	24.9
	"1-4 years"	"1-4"	"2016"	"2016"	4045	15956892	25.3
	"1-4 years"	"1-4"	"2017"	"2017"	3880	15999565	24.3
