"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	13553	2285014	593.1
	"< 1 year"	"1"	"2000"	"2000"	13513	2265371	596.5
	"< 1 year"	"1"	"2001"	"2001"	13311	2317389	574.4
	"< 1 year"	"1"	"2002"	"2002"	13463	2254013	597.3
	"< 1 year"	"1"	"2003"	"2003"	13223	2252355	587.1
	"< 1 year"	"1"	"2004"	"2004"	13046	2252891	579.1
	"< 1 year"	"1"	"2005"	"2005"	13026	2203849	591.1
	"< 1 year"	"1"	"2006"	"2006"	12906	2191820	588.8
	"< 1 year"	"1"	"2007"	"2007"	12998	2210644	588.0
	"< 1 year"	"1"	"2008"	"2008"	12519	2183638	573.3
	"< 1 year"	"1"	"2009"	"2009"	11608	2108041	550.7
	"< 1 year"	"1"	"2010"	"2010"	11025	2082860	529.3
	"< 1 year"	"1"	"2011"	"2011"	10842	2077936	521.8
	"< 1 year"	"1"	"2012"	"2012"	10601	2059367	514.8
	"< 1 year"	"1"	"2013"	"2013"	10563	2065056	511.5
	"< 1 year"	"1"	"2014"	"2014"	10341	2061659	501.6
	"< 1 year"	"1"	"2015"	"2015"	10277	2078038	494.6
	"< 1 year"	"1"	"2016"	"2016"	10046	2067447	485.9
	"< 1 year"	"1"	"2017"	"2017"	9359	2041317	458.5
	"< 1 year"	"1"	"2018"	"2018"	9244	1994440	463.5
"Total"	"< 1 year"	"1"			235464	43053145	546.9
	"1-4 years"	"1-4"	"1999"	"1999"	2819	9355528	30.1
	"1-4 years"	"1-4"	"2000"	"2000"	2641	9278164	28.5
	"1-4 years"	"1-4"	"2001"	"2001"	2772	9117784	30.4
	"1-4 years"	"1-4"	"2002"	"2002"	2502	9106584	27.5
	"1-4 years"	"1-4"	"2003"	"2003"	2539	9060759	28.0
	"1-4 years"	"1-4"	"2004"	"2004"	2458	9022690	27.2
	"1-4 years"	"1-4"	"2005"	"2005"	2404	8996603	26.7
	"1-4 years"	"1-4"	"2006"	"2006"	2279	8885285	25.6
	"1-4 years"	"1-4"	"2007"	"2007"	2325	8824765	26.3
	"1-4 years"	"1-4"	"2008"	"2008"	2373	8784283	27.0
	"1-4 years"	"1-4"	"2009"	"2009"	2181	8715090	25.0
	"1-4 years"	"1-4"	"2010"	"2010"	2139	8663830	24.7
	"1-4 years"	"1-4"	"2011"	"2011"	2055	8520021	24.1
	"1-4 years"	"1-4"	"2012"	"2012"	2094	8420048	24.9
	"1-4 years"	"1-4"	"2013"	"2013"	1977	8333154	23.7
	"1-4 years"	"1-4"	"2014"	"2014"	1876	8300942	22.6
	"1-4 years"	"1-4"	"2015"	"2015"	1895	8287847	22.9
	"1-4 years"	"1-4"	"2016"	"2016"	1978	8289748	23.9
	"1-4 years"	"1-4"	"2017"	"2017"	1858	8285748	22.4
	"1-4 years"	"1-4"	"2018"	"2018"	1825	8244087	22.1
"Total"	"1-4 years"	"1-4"			44990	174492960	25.8
	"5-14 years"	"5-14"	"1999"	"1999"	4488	25882576	17.3
	"5-14 years"	"5-14"	"2000"	"2000"	4397	25766723	17.1
	"5-14 years"	"5-14"	"2001"	"2001"	4151	25458696	16.3
	"5-14 years"	"5-14"	"2002"	"2002"	4031	25171896	16.0
	"5-14 years"	"5-14"	"2003"	"2003"	3884	24852613	15.6
	"5-14 years"	"5-14"	"2004"	"2004"	3820	24505348	15.6
	"5-14 years"	"5-14"	"2005"	"2005"	3681	24086546	15.3
	"5-14 years"	"5-14"	"2006"	"2006"	3353	23787446	14.1
	"5-14 years"	"5-14"	"2007"	"2007"	3362	23502124	14.3
	"5-14 years"	"5-14"	"2008"	"2008"	3070	23292427	13.2
	"5-14 years"	"5-14"	"2009"	"2009"	2867	23154930	12.4
