"Notes"	"Year"	"Year Code"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"1999"	"1999"	"Jefferson Parish, LA"	"22051"	4059	457571	887.1	975.7
	"1999"	"1999"	"Plaquemines Parish, LA"	"22075"	217	26689	813.1	1070.4
	"1999"	"1999"	"St. Bernard Parish, LA"	"22087"	741	67659	1095.2	1128.2
	"1999"	"1999"	"St. Charles Parish, LA"	"22089"	337	47907	703.4	988.7
	"1999"	"1999"	"St. James Parish, LA"	"22093"	171	21221	805.8	918.0
	"1999"	"1999"	"St. John the Baptist Parish, LA"	"22095"	321	42865	748.9	1119.8
	"1999"	"1999"	"St. Tammany Parish, LA"	"22103"	1381	188947	730.9	925.0
"Total"	"1999"	"1999"			7227	852859	847.4	984.6
	"2000"	"2000"	"Jefferson Parish, LA"	"22051"	4083	455466	896.4	971.1
	"2000"	"2000"	"Plaquemines Parish, LA"	"22075"	203	26757	758.7	1001.8
	"2000"	"2000"	"St. Bernard Parish, LA"	"22087"	717	67229	1066.5	1077.2
	"2000"	"2000"	"St. Charles Parish, LA"	"22089"	336	48072	699.0	957.0
	"2000"	"2000"	"St. James Parish, LA"	"22093"	191	21216	900.3	1006.7
	"2000"	"2000"	"St. John the Baptist Parish, LA"	"22095"	300	43044	697.0	1016.9
	"2000"	"2000"	"St. Tammany Parish, LA"	"22103"	1441	191268	753.4	938.5
"Total"	"2000"	"2000"			7271	853052	852.4	976.1
	"2001"	"2001"	"Jefferson Parish, LA"	"22051"	4117	453154	908.5	960.4
	"2001"	"2001"	"Plaquemines Parish, LA"	"22075"	230	27029	850.9	1099.4
	"2001"	"2001"	"St. Bernard Parish, LA"	"22087"	733	68028	1077.5	1123.5
	"2001"	"2001"	"St. Charles Parish, LA"	"22089"	315	48461	650.0	891.2
	"2001"	"2001"	"St. James Parish, LA"	"22093"	189	21291	887.7	989.6
	"2001"	"2001"	"St. John the Baptist Parish, LA"	"22095"	295	43580	676.9	943.5
	"2001"	"2001"	"St. Tammany Parish, LA"	"22103"	1487	195622	760.1	928.0
"Total"	"2001"	"2001"			7366	857165	859.3	965.8
