"GEO2010","COUNTY","FAVINC7D","FALT157","FALT257","FALTMX7","FALT37","FALT57","FALT87","FALT107","FALT17","FALT27","FALT47","FALT67","FALT77","FALT97","FALT127","FALT507"
"22001960100","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001960200","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001960300","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001960400","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001960500","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001960600","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001960700","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001960800","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001960900","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001961000","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001961100","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001961200","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22003950100","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22003950200","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22003950300","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22003950400","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22003950500","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22005030101","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22005030102","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22005030103","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22005030203","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22005030204","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22005030205","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22005030206","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22005030300","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22005030401","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22005030402","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22005030500","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22005030600","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22005030900","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22005031000","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22007050100","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22007050200","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22007050300","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22007050400","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22007050500","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22007050600","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22009030100","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22009030200","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22009030300","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22009030400","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22009030500","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22009030600","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22009030700","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22009030800","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22009030900","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22011960100","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22011960200","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22011960300","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22011960400","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22011960500","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22011960600","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22011960700","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22013970100","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22013970200","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22013970300","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22013970400","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22013970500","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22015010400","15","716","63","36","0","37","50","79","39","57","12","31","101","35","63","107","6"
"22015010500","15","1094","164","234","5","31","48","65","96","15","9","68","39","63","83","132","42"
"22015010601","15","1291","130","100","0","27","65","128","108","48","16","56","113","151","129","195","12"
"22015010602","15","537","54","42","0","11","28","53","46","20","7","23","48","63","54","82","6"
"22015010701","15","1009","127","86","4","21","69","103","63","38","25","77","69","73","80","160","15"
"22015010702","15","917","115","78","4","20","63","93","57","34","23","69","63","66","72","146","13"
"22015010801","15","1285","131","59","0","68","75","133","95","17","51","102","134","79","129","207","5"
"22015010804","15","1161","253","207","0","15","16","96","112","42","14","4","59","89","97","140","17"
"22015010805","15","716","155","127","0","9","9","59","69","26","8","2","36","54","59","86","9"
"22015010806","15","371","80","66","0","5","5","30","35","13","4","1","19","28","31","45","5"
"22015010900","15","998","104","89","0","1","50","146","112","15","9","9","130","116","104","113","1"
"22015011001","15","247","15","9","0","27","34","15","19","10","32","30","17","10","12","20","2"
"22015011002","15","507","30","19","0","57","68","29","37","21","66","62","33","21","25","40","5"
"22015011103","15","459","47","43","2","36","22","30","37","11","36","30","40","35","32","53","6"
"22015011105","15","557","57","52","2","43","27","37","45","14","44","36","48","42","39","64","7"
"22015011106","15","487","49","45","2","38","23","32","40","12","38","32","42","37","34","56","6"
"22015011107","15","208","21","19","1","16","10","14","17","5","16","14","18","16","15","24","3"
"22015011108","15","314","31","28","0","24","14","20","25","7","24","20","26","23","21","35","3"
"22015011109","15","337","35","33","2","27","17","24","29","10","27","23","30","27","25","40","6"
"22015011110","15","297","31","28","1","24","15","20","25","8","24","20","26","23","21","35","4"
