"GEO2010","COUNTY","HFLG175","FAVINC8D","FALT138","FALT158","FALT188","FALT208","FALT238","FALT258","FALT288","FALT308","FALT358","FALT408","FALT498","FALT758","FALTMX8","FALT38","FALT58","FALT88","FALT108"
"22001960100","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001960200","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001960300","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001960400","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001960500","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001960600","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001960700","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001960800","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001960900","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001961000","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001961100","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22001961200","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22003950100","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22003950200","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22003950300","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22003950400","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22003950500","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22005030101","5","0","754","47","39","29","56","66","81","81","60","67","37","25","24","8","24","24","46","39"
"22005030102","5","0","742","47","39","29","55","65","80","80","59","66","36","25","24","8","23","24","46","39"
"22005030103","5","0","735","46","38","29","55","64","79","79","58","66","36","24","23","8","23","24","45","38"
"22005030203","5","0","663","43","40","35","35","55","50","69","53","97","42","31","19","5","8","29","29","22"
"22005030204","5","0","768","50","46","41","41","64","58","80","62","112","49","36","22","6","9","34","33","26"
"22005030205","5","0","551","36","33","29","29","46","42","57","44","81","35","26","16","4","7","24","24","19"
"22005030206","5","0","847","54","50","44","44","70","63","87","67","123","53","39","23","6","9","36","36","28"
"22005030300","5","0","913","47","36","60","48","103","39","101","41","58","35","36","13","0","47","89","69","71"
"22005030401","5","0","1029","45","57","53","43","70","37","103","108","93","90","72","41","18","36","40","42","94"
"22005030402","5","0","1287","56","71","66","53","87","46","127","134","115","111","89","51","22","43","49","52","117"
"22005030500","5","0","1023","81","61","27","78","69","94","88","61","124","69","63","16","0","13","41","53","86"
"22005030600","5","0","766","61","49","48","43","54","48","31","44","69","28","63","19","15","73","33","53","34"
"22005030900","5","0","1213","69","100","92","66","65","22","65","32","69","60","52","28","21","130","101","145","101"
"22005031000","5","0","1512","99","90","141","66","54","107","67","68","118","102","74","50","18","82","113","162","116"
"22007050100","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22007050200","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22007050300","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22007050400","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22007050500","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22007050600","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22009030100","9","0","804","101","86","81","53","68","19","42","5","19","24","0","13","0","44","57","121","56"
"22009030200","9","0","639","52","39","79","66","12","38","21","5","68","25","17","7","7","35","24","76","68"
"22009030300","9","0","918","185","53","101","20","83","32","17","5","21","10","9","5","4","75","130","69","99"
"22009030400","9","0","1984","98","159","188","45","88","76","57","25","73","49","53","30","29","207","297","295","207"
"22009030500","9","0","1809","211","157","173","75","134","89","59","25","33","16","24","29","1","93","309","219","170"
"22009030600","9","0","1717","198","182","116","100","71","39","89","41","82","57","41","50","11","98","162","182","198"
"22009030700","9","0","1497","131","149","109","127","90","87","55","48","39","22","25","15","27","82","154","178","174"
"22009030800","9","0","664","49","49","54","50","19","38","22","21","25","38","0","11","2","34","101","87","64"
"22009030900","9","0","815","89","79","72","20","40","12","21","18","34","9","28","20","8","58","112","95","100"
