GEO2010,COUNTY,HFLG175,FAVINC9D,MDFAMY9,FALTY59,FALTY109,FALT139,FALT159,FALT189,FALT209,FALT239,FALT259,FALT289,FALT309,FALT359,FALT409,FALT499,FALT759,FALT609A,FALT759A,FALTMX9,FALT1009,FALT1259,FALTMXA9,FALT1509,FALTMXB9
22001960100,1,0,1641,16912,232,248,143,82,151,126,88,32,63,74,86,71,142,80,50,30,23,6,9,8,0,8
22001960200,1,0,1217,23328,105,123,74,57,59,68,97,77,47,68,91,69,111,106,56,50,65,28,8,29,11,18
22001960300,1,0,836,19375,85,135,54,60,51,44,37,27,73,19,53,56,29,102,59,43,11,11,0,0,0,0
22001960400,1,0,1440,23919,106,163,77,89,76,79,88,74,94,56,140,76,144,141,79,62,37,20,7,10,10,0
22001960500,1,0,1081,22120,83,137,59,69,57,77,69,27,41,88,87,61,110,67,48,19,49,21,0,28,9,19
22001960600,1,0,1364,21203,125,195,126,52,90,56,79,84,81,54,84,64,88,140,71,69,46,36,10,0,0,0
22001960700,1,0,1215,15045,252,224,93,37,83,45,63,40,74,49,78,9,75,44,24,20,49,12,15,22,6,16
22001960800,1,0,1387,26250,65,165,81,60,99,50,50,82,67,48,82,121,106,164,105,58,133,54,26,51,12,38
22001960900,1,0,1470,15833,291,259,71,86,84,48,88,36,6,70,112,42,125,93,39,54,59,31,10,18,10,8
22001961000,1,0,1559,14580,288,275,121,119,62,69,54,86,76,51,90,151,56,63,38,26,12,6,1,7,1,7
22001961100,1,0,913,17628,92,145,74,63,78,88,55,30,50,46,60,30,53,37,13,24,12,4,0,8,0,8
22001961200,1,0,820,19597,69,128,55,37,69,62,41,39,27,47,64,43,75,45,15,30,19,0,6,13,6,7
22003950100,3,0,1128,21607,83,131,70,67,77,72,90,49,64,33,108,62,109,76,62,13,23,16,0,6,0,6
22003950200,3,0,890,18907,122,93,51,92,30,100,46,47,32,31,113,21,68,29,15,14,14,7,7,0,0,0
22003950300,3,0,944,13555,219,168,72,32,37,42,88,40,35,23,65,36,37,28,13,15,23,9,6,8,0,8
22003950400,3,0,1163,18859,100,134,127,90,87,80,64,44,53,24,73,84,105,82,55,27,16,11,0,5,0,5
22003950500,3,0,1418,21201,162,178,112,63,91,58,106,78,77,36,97,109,147,84,71,14,34,25,0,10,0,10
