"GEO2010","COUNTY","HFLG175","FAVINC0D","MDFAMY0","FAY0100","FAY0150","FAY0200","FAY0250","FAY0300","FAY0350","FAY0400","FAY0450","FAY0500","FAY0600","FAY0750","FAY01000","FAY01250","FAY01500","FAY02000","FAY0M200"
"22001960100","1","0","1614","26667","348","119","164","124","129","101","74","80","124","200","72","32","38","9","0","0"
"22001960200","1","0","1423","41967","120","94","139","91","69","76","69","139","93","173","177","85","25","0","49","24"
"22001960300","1","0","899","32036","113","112","82","65","49","89","60","65","61","46","72","38","24","12","0","11"
"22001960400","1","0","1545","38114","137","124","141","114","127","106","68","93","87","130","221","110","69","6","12","0"
"22001960500","1","0","1341","34383","99","91","112","138","101","150","168","50","81","137","73","75","33","9","0","24"
"22001960600","1","0","1491","34578","151","133","115","73","175","112","124","76","146","153","74","76","25","14","11","33"
"22001960700","1","0","1198","22615","327","110","118","106","109","87","51","53","50","40","68","34","23","8","0","14"
"22001960800","1","0","1470","36661","109","139","143","110","127","55","100","84","87","101","139","146","44","14","45","12"
"22001960900","1","0","1349","24709","264","162","115","142","110","47","33","75","89","85","103","37","52","18","13","4"
"22001961000","1","0","1526","28321","253","166","123","105","177","79","116","68","59","132","89","112","19","28","1","14"
"22001961100","1","0","956","33073","121","123","57","60","60","94","75","65","62","66","107","25","17","20","3","1"
"22001961200","1","0","952","39038","71","88","34","117","47","56","73","63","38","115","98","63","33","0","42","14"
"22003950100","3","0","1329","35230","172","91","143","91","72","83","128","61","86","126","131","75","21","0","18","17"
"22003950200","3","0","905","34656","100","57","79","66","67","87","91","63","48","58","86","34","44","15","9","0"
"22003950300","3","0","914","22201","182","125","110","87","79","79","73","25","23","21","36","48","13","14","0","0"
"22003950400","3","0","1252","32471","112","111","134","88","96","119","61","71","45","154","104","103","30","12","11","1"
"22003950500","3","0","1625","42106","182","92","92","105","93","114","87","65","79","233","222","139","70","35","1","30"
"22005030101","5","0","1386","57500","76","54","80","62","53","71","104","47","43","121","277","237","85","70","6","0"
"22005030102","5","0","1238","53291","31","46","34","61","77","62","38","63","67","220","189","237","72","33","8","0"
"22005030103","5","0","1411","51615","79","43","68","57","90","96","140","67","50","171","246","229","18","0","38","19"
"22005030203","5","0","1789","63125","37","27","63","24","75","101","32","68","85","257","331","425","196","53","0","15"
"22005030204","5","0","1942","61799","40","29","29","76","36","44","94","143","97","283","502","326","133","61","33","16"
"22005030205","5","0","1556","62072","28","45","51","6","33","122","69","83","115","163","315","302","106","88","14","16"
"22005030206","5","0","1875","48163","90","93","87","99","148","122","159","60","121","238","310","203","100","15","10","8"
"22005030300","5","0","1448","43531","95","77","53","93","78","105","116","146","38","125","152","199","72","40","30","13"
"22005030401","5","0","1143","42260","93","51","81","82","83","83","64","103","49","120","148","104","51","17","4","22"
"22005030402","5","0","1468","41089","190","116","73","99","70","93","66","129","73","159","155","122","55","50","0","18"
"22005030500","5","0","1958","45378","87","96","85","116","171","188","139","92","93","211","272","233","114","29","25","7"
"22005030600","5","0","1055","43715","83","49","65","60","40","59","92","98","44","127","163","94","47","14","11","9"
"22005030900","5","0","1097","30571","237","70","62","87","84","85","73","34","57","71","95","98","36","5","0","5"
"22005031000","5","0","1636","35256","305","137","122","95","68","88","127","57","51","111","157","224","38","4","18","48"
"22007050100","7","0","1018","35439","194","52","58","74","58","59","63","74","50","59","87","93","68","5","13","0"
"22007050200","7","0","1522","41577","202","80","66","118","97","80","77","89","125","227","199","125","12","8","0","17"
"22007050300","7","0","1014","36336","137","103","66","50","31","109","52","46","50","61","131","118","14","18","16","23"
"22007050400","7","0","835","33581","132","70","29","61","74","67","40","43","27","53","97","54","35","10","20","8"
"22007050500","7","0","823","25493","145","114","87","61","51","37","33","37","24","86","70","30","36","1","1","14"
"22007050600","7","0","1060","40069","99","27","59","71","88","124","66","98","60","107","140","90","33","0","8","1"
"22009030100","9","0","713","38722","69","58","65","46","51","34","29","52","41","119","67","51","0","0","3","14"
"22009030200","9","0","748","36290","98","32","40","78","71","39","71","83","33","81","64","23","15","6","14","0"
"22009030300","9","0","939","28266","132","118","70","104","67","85","38","69","44","56","78","21","11","11","23","12"
"22009030400","9","0","1846","26735","412","175","78","160","224","91","97","92","58","100","194","35","68","9","33","12"
"22009030500","9","0","1771","29212","210","189","214","136","178","123","115","125","80","171","96","97","25","13","3","4"
"22009030600","9","0","1539","29194","283","203","100","92","106","106","91","68","68","140","136","83","32","8","11","12"
"22009030700","9","0","1567","31108","206","147","123","148","141","90","127","92","74","122","148","75","53","13","3","19"
"22009030800","9","0","672","32446","17","96","69","46","63","56","41","36","34","85","61","37","12","3","10","6"
"22009030900","9","0","826","23026","155","123","97","68","61","30","32","57","39","57","36","35","18","10","2","6"
"22011960100","11","0","1708","36500","166","65","178","80","190","139","118","137","88","153","198","117","59","12","8","0"
"22011960200","11","0","1316","42308","85","76","79","118","118","86","60","76","121","144","146","128","43","9","20","7"
"22011960300","11","0","1120","38065","165","78","97","106","57","33","48","56","45","116","109","93","62","31","16","8"
"22011960400","11","0","773","29750","103","70","84","78","54","38","63","25","28","65","42","72","16","14","13","8"
"22011960500","11","0","1287","44816","27","56","84","79","55","147","98","102","38","105","172","185","59","17","39","24"
"22011960600","11","0","1006","33472","86","88","100","90","68","104","51","80","49","80","88","92","15","11","0","4"
"22011960700","11","0","1883","38039","109","113","121","155","193","171","125","84","164","184","207","128","55","53","5","16"
"22013970100","13","0","964","27933","157","109","76","93","66","59","49","30","36","112","72","52","18","18","5","3"
"22013970200","13","0","625","27859","82","79","52","63","51","45","39","43","28","42","47","34","10","7","3","9"
"22013970300","13","0","975","29563","171","106","73","62","80","74","46","74","70","58","78","55","10","9","3","2"
"22013970400","13","0","741","32390","87","45","58","78","72","55","76","58","58","60","55","23","2","12","4","2"
"22013970500","13","0","939","31142","112","92","93","65","81","82","77","48","52","86","59","67","14","6","2","3"
"22015010400","15","0","414","17560","159","47","42","31","11","22","25","0","31","25","6","15","0","0","0","0"
"22015010500","15","0","1331","37043","152","83","119","125","60","93","94","71","62","125","97","152","67","19","12","0"
"22015010601","15","0","1817","29759","180","153","141","233","205","185","98","141","99","113","114","83","30","21","7","0"
"22015010602","15","1","679","34063","87","68","51","42","76","17","95","41","26","53","63","60","0","0","0","0"
"22015010701","15","1","997","34160","58","82","94","78","95","114","58","61","85","95","86","84","0","0","0","7"
"22015010702","15","1","938","33676","60","90","59","108","87","83","63","75","76","92","68","36","23","7","11","0"
"22015010801","15","2","739","31736","85","52","70","65","72","51","77","51","66","26","99","16","4","5","0","0"
"22015010804","15","1","1757","47234","14","27","59","68","132","137","174","154","187","243","252","256","26","15","0","13"
"22015010805","15","0","1022","49367","35","24","42","64","64","54","63","78","97","134","172","108","70","11","0","0"
"22015010806","15","0","530","49367","18","12","22","33","33","28","32","40","50","69","89","56","36","5","0","0"
"22015010900","15","1","732","41034","29","8","39","84","67","54","64","65","71","108","44","63","36","1","0","0"
"22015011001","15","1","941","54004","50","41","39","45","42","49","41","49","75","105","173","115","62","30","7","21"
"22015011002","15","1","1931","54004","102","83","81","93","87","99","85","99","154","215","355","237","126","62","17","45"
"22015011103","15","1","1759","53813","35","54","52","52","127","99","140","125","60","260","267","283","87","55","37","26"
"22015011105","15","1","1764","52005","65","83","80","90","74","131","105","84","97","257","386","223","17","24","27","21"
"22015011106","15","1","1941","40492","111","165","105","137","165","126","143","158","121","232","271","141","28","2","13","23"
