"GEO2010","COUNTY","HFLG175","FAVINC1AD","MDFAMY1A","FAY0101A","FAY0151A","FAY0201A","FAY0251A","FAY0301A","FAY0351A","FAY0401A","FAY0451A","FAY0501A","FAY0601A","FAY0751A","FAY01001A","FAY01251A","FAY01501A","FAY02001A","FAY0M201A"
"22001960100","1","0","1679","29907","205","150","158","165","166","131","76","104","45","112","149","73","130","0","15","0"
"22001960200","1","0","1531","53438","87","71","51","91","38","116","88","80","88","127","103","255","162","95","56","23"
"22001960300","1","0","1049","55795","76","30","28","52","144","30","0","40","61","86","185","166","100","7","39","5"
"22001960400","1","0","1616","48605","73","47","149","126","26","116","91","127","77","133","210","252","143","11","21","14"
"22001960500","1","0","1682","65202","72","33","104","83","39","120","69","26","24","200","270","327","101","39","146","29"
"22001960600","1","0","1502","42036","132","29","134","88","133","72","106","103","84","103","103","215","102","44","34","20"
"22001960700","1","0","1140","36875","147","49","127","63","90","58","84","0","72","127","86","121","37","48","19","12"
"22001960800","1","0","1301","41649","98","36","68","106","174","93","30","93","13","25","103","217","157","26","23","39"
"22001960900","1","0","1253","42604","186","86","102","67","67","15","53","62","21","134","74","107","79","107","56","37"
"22001961000","1","0","1557","28614","241","201","117","173","77","91","127","73","160","99","55","77","66","0","0","0"
"22001961100","1","0","891","41108","36","69","52","58","93","57","57","56","67","73","100","96","50","23","4","0"
"22001961200","1","0","942","55678","37","23","40","58","47","63","15","59","13","196","154","152","43","27","15","0"
"22003950100","3","0","1399","49191","49","45","91","96","118","38","128","89","51","136","123","227","91","55","53","9"
"22003950200","3","0","919","38706","39","87","75","57","74","92","65","51","12","65","107","88","43","24","31","9"
"22003950300","3","0","905","43795","104","59","26","85","36","59","30","80","23","71","168","30","64","33","15","22"
"22003950400","3","0","1213","41270","92","115","68","91","70","65","74","90","43","39","130","151","115","42","19","9"
"22003950500","3","0","1576","46990","123","74","65","135","60","173","38","81","99","184","174","210","63","41","56","0"
"22005030101","5","0","1626","80900","15","57","14","35","74","33","83","51","53","84","254","286","172","242","92","81"
"22005030102","5","0","1400","57065","27","7","34","76","121","17","103","105","88","153","155","238","161","62","53","0"
"22005030103","5","0","1605","85515","35","11","48","73","65","106","8","35","56","139","147","311","412","118","41","0"
"22005030203","5","0","2658","99969","15","67","40","12","12","52","28","51","0","253","322","478","321","452","337","218"
"22005030204","5","0","2831","78361","65","34","43","69","71","103","83","58","56","269","470","542","380","237","277","74"
"22005030205","5","0","2554","81754","73","17","103","13","36","76","120","51","114","228","260","498","336","231","255","143"
"22005030206","5","0","1845","72589","70","20","40","95","50","120","95","97","10","195","144","415","254","174","53","13"
"22005030300","5","0","3377","88589","23","149","46","112","267","41","115","39","115","124","453","434","600","275","276","308"
