STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
22,55,1700,22055001700,17,Census Tract 17,G5020,S,5133690,0,30.1792758,-92.0586651
22,55,1902,22055001902,19.02,Census Tract 19.02,G5020,S,17033285,0,30.2231857,-92.1082899
22,55,1500,22055001500,15,Census Tract 15,G5020,S,5466472,0,30.1985507,-92.028269
22,55,1407,22055001407,14.07,Census Tract 14.07,G5020,S,6037104,0,30.1760902,-92.0362245
22,55,1903,22055001903,19.03,Census Tract 19.03,G5020,S,15960273,0,30.1963572,-92.1170634
22,55,1904,22055001904,19.04,Census Tract 19.04,G5020,S,5259566,0,30.1958927,-92.0836178
22,55,1905,22055001905,19.05,Census Tract 19.05,G5020,S,32352156,0,30.1541953,-92.1178169
22,65,960500,22065960500,9605,Census Tract 9605,G5020,S,3538016,0,32.3967829,-91.1914885
22,105,954501,22105954501,9545.01,Census Tract 9545.01,G5020,S,16804145,0,30.4650267,-90.4617067
22,101,40200,22101040200,402,Census Tract 402,G5020,S,8671156,3042295,29.7185597,-91.1964174
22,119,31200,22119031200,312,Census Tract 312,G5020,S,86162547,11579658,32.9672204,-93.4583081
22,119,32100,22119032100,321,Census Tract 321,G5020,S,334687063,20232209,32.5149613,-93.2542486
22,119,31700,22119031700,317,Census Tract 317,G5020,S,9972831,515283,32.6108125,-93.3041735
22,119,31600,22119031600,316,Census Tract 316,G5020,S,188688244,2976446,32.7003701,-93.2845605
22,119,31100,22119031100,311,Census Tract 311,G5020,S,337057586,1616971,32.9060541,-93.3090607
22,119,32000,22119032000,320,Census Tract 320,G5020,S,17139776,340352,32.6123376,-93.264104
22,119,31500,22119031500,315,Census Tract 315,G5020,S,345208130,17735623,32.6023417,-93.4004775
22,119,31400,22119031400,314,Census Tract 314,G5020,S,191400163,1227994,32.8441183,-93.3808592
22,119,31300,22119031300,313,Census Tract 313,G5020,S,17905687,215914,33.0031412,-93.4550948
22,119,31800,22119031800,318,Census Tract 318,G5020,S,4559267,46183,32.6279494,-93.2929396
22,119,31900,22119031900,319,Census Tract 319,G5020,S,3159789,0,32.6123015,-93.2791994
22,115,950400,22115950400,9504,Census Tract 9504,G5020,S,14214180,63531,31.1538517,-93.2744493
22,115,950600,22115950600,9506,Census Tract 9506,G5020,S,98313173,5045049,31.1287107,-93.222427
22,115,950200,22115950200,9502,Census Tract 9502,G5020,S,444646408,4673437,31.2773873,-93.3350181
22,115,950500,22115950500,9505,Census Tract 9505,G5020,S,27930037,150784,31.1178383,-93.2902905
22,115,950900,22115950900,9509,Census Tract 9509,G5020,S,214408027,1791245,30.9698952,-93.3189905
22,115,950800,22115950800,9508,Census Tract 9508,G5020,S,723470225,1071484,30.9561291,-93.02085
22,115,950100,22115950100,9501,Census Tract 9501,G5020,S,828533029,1369229,31.2330338,-93.0304239
22,115,950300,22115950300,9503,Census Tract 9503,G5020,S,660101621,20446311,31.0573027,-93.4356205
22,113,990000,22113990000,9900,Census Tract 9900,G5020,S,0,299825000,29.531634,-92.330308
22,113,950901,22113950901,9509.01,Census Tract 9509.01,G5020,S,41395450,488419,29.9420858,-92.1178263
22,115,950704,22115950704,9507.04,Census Tract 9507.04,G5020,S,4185121,0,31.0644808,-93.2276371
22,115,950703,22115950703,9507.03,Census Tract 9507.03,G5020,S,17983022,17262,31.0996085,-93.2020875
22,1,961000,22001961000,9610,Census Tract 9610,G5020,S,14732696,44024,30.1960007,-92.377854
22,1,960800,22001960800,9608,Census Tract 9608,G5020,S,31724453,120124,30.2391806,-92.3555397
22,1,960700,22001960700,9607,Census Tract 9607,G5020,S,20674795,86696,30.2437889,-92.2863515
22,1,960200,22001960200,9602,Census Tract 9602,G5020,S,351269324,396255,30.4173573,-92.3900213
22,1,960300,22001960300,9603,Census Tract 9603,G5020,S,233552909,1031952,30.3608118,-92.5763311
22,1,960400,22001960400,9604,Census Tract 9604,G5020,S,331042600,1433091,30.2825466,-92.4397952
22,1,960600,22001960600,9606,Census Tract 9606,G5020,S,34312850,45220,30.240136,-92.2419716
22,1,960100,22001960100,9601,Census Tract 9601,G5020,S,47243493,0,30.4101287,-92.2171924
22,1,961200,22001961200,9612,Census Tract 9612,G5020,S,215274869,69113,30.1408364,-92.3603655
22,1,961100,22001961100,9611,Census Tract 9611,G5020,S,210088713,2654388,30.1494723,-92.5188222
22,1,960900,22001960900,9609,Census Tract 9609,G5020,S,14499766,32281,30.2176279,-92.4030196
22,1,960500,22001960500,9605,Census Tract 9605,G5020,S,192361285,108375,30.3094902,-92.2357936
22,113,951002,22113951002,9510.02,Census Tract 9510.02,G5020,S,187316160,6314660,29.8631152,-92.0529556
22,113,950902,22113950902,9509.02,Census Tract 9509.02,G5020,S,102596062,341565,30.0150426,-92.0346931
22,113,951001,22113951001,9510.01,Census Tract 9510.01,G5020,S,31969986,0,29.961446,-92.0271746
22,51,990100,22051990100,9901,Census Tract 9901,G5020,S,0,187832920,29.1891317,-89.9804052
22,115,950701,22115950701,9507.01,Census Tract 9507.01,G5020,S,402914393,518728,31.0823093,-93.0537099
22,115,950702,22115950702,9507.02,Census Tract 9507.02,G5020,S,2576707,6723,31.0431846,-93.2274727
22,71,7606,22071007606,76.06,Census Tract 76.06,G5020,S,1795405,473540,30.0150744,-90.1180146
22,121,20300,22121020300,203,Census Tract 203,G5020,S,338698991,10990855,30.5007048,-91.3450421
22,121,20200,22121020200,202,Census Tract 202,G5020,S,36243277,5521776,30.4860039,-91.2308859
22,121,20100,22121020100,201,Census Tract 201,G5020,S,4086095,1273258,30.4519808,-91.2065215
22,41,950300,22041950300,9503,Census Tract 9503,G5020,S,23827324,160383,32.1710991,-91.7355561
22,41,950600,22041950600,9506,Census Tract 9506,G5020,S,114040185,6456313,31.9423648,-91.708659
22,41,950500,22041950500,9505,Census Tract 9505,G5020,S,297878947,12787571,32.028182,-91.8240443
22,41,950400,22041950400,9504,Census Tract 9504,G5020,S,504144541,8023534,32.0735313,-91.5800154
22,41,950100,22041950100,9501,Census Tract 9501,G5020,S,451687261,231043,32.3105159,-91.6193612
22,41,950200,22041950200,9502,Census Tract 9502,G5020,S,226089436,449038,32.1489918,-91.7452452
22,57,20702,22057020702,207.02,Census Tract 207.02,G5020,S,116904984,37653,29.7660754,-90.9239039
22,57,21400,22057021400,214,Census Tract 214,G5020,S,50197155,877174,29.5193595,-90.3721527
22,57,21200,22057021200,212,Census Tract 212,G5020,S,334250422,414938289,29.1938568,-90.299355
22,57,21602,22057021602,216.02,Census Tract 216.02,G5020,S,211634056,8403035,29.5357045,-90.4911494
22,57,21000,22057021000,210,Census Tract 210,G5020,S,551659877,31105908,29.7172002,-90.4689504
22,47,953000,22047953000,9530,Census Tract 9530,G5020,S,213690624,7615014,30.1123406,-91.1815087
22,47,953101,22047953101,9531.01,Census Tract 9531.01,G5020,S,8941102,50186,30.2690287,-91.241356
22,47,952900,22047952900,9529,Census Tract 9529,G5020,S,461181423,20330688,30.1736571,-91.3045411
22,47,952700,22047952700,9527,Census Tract 9527,G5020,S,534554266,25394791,30.3100553,-91.4397634
22,57,21800,22057021800,218,Census Tract 218,G5020,S,10223537,0,29.7124661,-90.5966651
22,57,20800,22057020800,208,Census Tract 208,G5020,S,210525844,5277381,29.8360111,-90.6967213
22,57,21700,22057021700,217,Census Tract 217,G5020,S,10570946,361783,29.6373618,-90.5301821
22,57,20202,22057020202,202.02,Census Tract 202.02,G5020,S,10839099,0,29.772255,-90.7902725
22,57,20900,22057020900,209,Census Tract 209,G5020,S,28130006,69335,29.7464247,-90.6610709
22,57,21100,22057021100,211,Census Tract 211,G5020,S,782597402,390934198,29.4151133,-90.1731994
22,57,21300,22057021300,213,Census Tract 213,G5020,S,10704300,1903249,29.3907205,-90.2826535
22,57,21601,22057021601,216.01,Census Tract 216.01,G5020,S,123918498,8035502,29.6407669,-90.6037379
22,47,953102,22047953102,9531.02,Census Tract 9531.02,G5020,S,30010751,5326068,30.2606697,-91.1606478
22,47,952600,22047952600,9526,Census Tract 9526,G5020,S,221316746,9829413,30.4398986,-91.556618
22,57,20400,22057020400,204,Census Tract 204,G5020,S,1706638,0,29.7848824,-90.8159256
22,57,20100,22057020100,201,Census Tract 201,G5020,S,1701849,0,29.7924921,-90.8281082
22,99,20800,22099020800,208,Census Tract 208,G5020,S,99897666,1158283,30.1379312,-91.7830175
22,99,20100,22099020100,201,Census Tract 201,G5020,S,811772469,91213882,30.231309,-91.6376562
22,99,20400,22099020400,204,Census Tract 204,G5020,S,98281142,3085806,30.2040031,-91.8234715
22,99,20200,22099020200,202,Census Tract 202,G5020,S,129081071,651415,30.3705661,-91.8902599
22,99,21000,22099021000,210,Census Tract 210,G5020,S,457808644,92904946,29.8486881,-91.268425
22,99,20600,22099020600,206,Census Tract 206,G5020,S,89064333,68989,30.1242013,-91.8988705
22,99,20900,22099020900,209,Census Tract 209,G5020,S,17640455,1736448,30.0736676,-91.8522002
22,71,617,22071000617,6.17,Census Tract 6.17,G5020,S,1226280,246068,29.8974722,-89.9903933
22,57,21500,22057021500,215,Census Tract 215,G5020,S,16499664,598865,29.5714141,-90.3752816
22,57,20600,22057020600,206,Census Tract 206,G5020,S,1741871,0,29.795672,-90.8435087
22,57,20500,22057020500,205,Census Tract 205,G5020,S,9255453,0,29.7779612,-90.8421918
22,91,951100,22091951100,9511,Census Tract 9511,G5020,S,530985873,566228,30.9067303,-90.7046811
22,91,951200,22091951200,9512,Census Tract 9512,G5020,S,526786719,2229990,30.7252326,-90.7091724
22,21,200,22021000200,2,Census Tract 2,G5020,S,609606962,4546388,32.1191511,-92.2181371
22,21,300,22021000300,3,Census Tract 3,G5020,S,318172092,3054654,31.9959904,-92.0854092
22,21,100,22021000100,1,Census Tract 1,G5020,S,443424762,21676261,32.090382,-91.9949735
22,109,1000,22109001000,10,Census Tract 10,G5020,S,49242184,865272,29.5635934,-90.6150353
22,109,1201,22109001201,12.01,Census Tract 12.01,G5020,S,39219210,14697216,29.4976839,-90.6097819
22,109,1300,22109001300,13,Census Tract 13,G5020,S,423401665,217506622,29.2577216,-90.7843028
22,109,1500,22109001500,15,Census Tract 15,G5020,S,618398299,45247598,29.5237556,-91.0459592
22,109,1700,22109001700,17,Census Tract 17,G5020,S,109775189,89201,29.6579937,-90.8286765
22,109,1600,22109001600,16,Census Tract 16,G5020,S,267478494,16927231,29.6315657,-90.9708791
22,109,1100,22109001100,11,Census Tract 11,G5020,S,301086012,247230072,29.3304395,-90.5188781
22,109,1202,22109001202,12.02,Census Tract 12.02,G5020,S,244595506,647291507,29.1688492,-90.6049366
22,109,1400,22109001400,14,Census Tract 14,G5020,S,964252754,456693585,29.3245324,-91.016803
22,109,102,22109000102,1.02,Census Tract 1.02,G5020,S,17255513,0,29.7022392,-90.7848927
22,109,101,22109000101,1.01,Census Tract 1.01,G5020,S,45059691,161094,29.7325758,-90.841562
22,51,27701,22051027701,277.01,Census Tract 277.01,G5020,S,18539119,772189,29.8656191,-90.1424027
22,109,201,22109000201,2.01,Census Tract 2.01,G5020,S,22555425,0,29.6549209,-90.7844261
22,109,300,22109000300,3,Census Tract 3,G5020,S,5177564,0,29.6133126,-90.7517145
22,109,202,22109000202,2.02,Census Tract 2.02,G5020,S,19111967,0,29.6592456,-90.7428969
22,17,980000,22017980000,9800,Census Tract 9800,G5020,S,6941023,35764,32.449895,-93.828986
22,79,12700,22079012700,127,Census Tract 127,G5020,S,21514372,167817,31.238603,-92.408121
22,79,12600,22079012600,126,Census Tract 126,G5020,S,3909911,0,31.2780305,-92.4602921
22,79,13200,22079013200,132,Census Tract 132,G5020,S,240657814,12647087,31.2757084,-92.2884716
22,79,11700,22079011700,117,Census Tract 117,G5020,S,9113866,1480858,31.3421477,-92.4431367
22,79,12200,22079012200,122,Census Tract 122,G5020,S,2930595,0,31.2977483,-92.4674316
22,79,11300,22079011300,113,Census Tract 113,G5020,S,17620547,8879,31.3724994,-92.4343038
22,79,13100,22079013100,131,Census Tract 131,G5020,S,11019812,1011448,31.3043321,-92.4050393
22,79,13600,22079013600,136,Census Tract 136,G5020,S,375649168,1577,31.022711,-92.7542466
22,79,10400,22079010400,104,Census Tract 104,G5020,S,72814413,9129014,31.391197,-92.5382517
22,79,12500,22079012500,125,Census Tract 125,G5020,S,15315366,0,31.2483823,-92.4614551
22,79,13300,22079013300,133,Census Tract 133,G5020,S,435255043,4632224,31.0785484,-92.3268595
22,79,13400,22079013400,134,Census Tract 134,G5020,S,353388909,5747778,31.1566092,-92.5416682
22,79,13000,22079013000,130,Census Tract 130,G5020,S,16840602,1402984,31.2606778,-92.3950867
22,79,10700,22079010700,107,Census Tract 107,G5020,S,187178163,7519719,31.2627294,-92.6537948
22,79,10600,22079010600,106,Census Tract 106,G5020,S,543322932,28367577,31.3232915,-92.8010025
22,79,13500,22079013500,135,Census Tract 135,G5020,S,516526491,22460065,31.0137557,-92.5499072
22,79,11500,22079011500,115,Census Tract 115,G5020,S,16834916,0,31.3428307,-92.3942532
22,79,10100,22079010100,101,Census Tract 101,G5020,S,238717537,12395683,31.3885198,-92.2032352
22,79,12800,22079012800,128,Census Tract 128,G5020,S,3334771,0,31.2759621,-92.4410374
22,79,12100,22079012100,121,Census Tract 121,G5020,S,2122661,0,31.2926021,-92.4582126
22,121,20402,22121020402,204.02,Census Tract 204.02,G5020,S,83802364,682428,30.3833745,-91.2754011
22,121,20401,22121020401,204.01,Census Tract 204.01,G5020,S,35463164,11133921,30.3380313,-91.2530325
22,79,10500,22079010500,105,Census Tract 105,G5020,S,127533412,5186170,31.3554273,-92.6107389
22,17,25200,22017025200,252,Census Tract 252,G5020,S,1705907,0,32.499611,-93.7609137
22,17,25406,22017025406,254.06,Census Tract 254.06,G5020,S,76511650,18340161,32.5538364,-93.9191392
22,17,23904,22017023904,239.04,Census Tract 239.04,G5020,S,3129527,0,32.431966,-93.722642
22,17,23905,22017023905,239.05,Census Tract 239.05,G5020,S,3458775,0,32.4173617,-93.7109076
22,71,1748,22071001748,17.48,Census Tract 17.48,G5020,S,2020068,0,30.0254262,-89.9553984
22,17,25405,22017025405,254.05,Census Tract 254.05,G5020,S,23601911,60093,32.5894221,-93.8614885
22,109,600,22109000600,6,Census Tract 6,G5020,S,19778162,848211,29.6271539,-90.7002845
22,109,700,22109000700,7,Census Tract 7,G5020,S,8857323,93231,29.5847212,-90.6740259
22,109,800,22109000800,8,Census Tract 8,G5020,S,6128301,191676,29.5792021,-90.6946356
22,109,500,22109000500,5,Census Tract 5,G5020,S,18522936,85135,29.6261386,-90.7236629
22,71,1750,22071001750,17.5,Census Tract 17.50,G5020,S,1437946,166339,30.0384832,-89.9176831
22,71,1747,22071001747,17.47,Census Tract 17.47,G5020,S,7166909,344000,30.0414373,-89.9549478
22,109,900,22109000900,9,Census Tract 9,G5020,S,5539902,301923,29.59045,-90.7187865
22,83,970100,22083970100,9701,Census Tract 9701,G5020,S,22708703,101353,32.4511576,-91.499288
22,83,970600,22083970600,9706,Census Tract 9706,G5020,S,476831231,3917240,32.2844665,-91.8589053
22,83,970300,22083970300,9703,Census Tract 9703,G5020,S,317875442,729805,32.4896715,-91.6779085
22,83,970500,22083970500,9705,Census Tract 9705,G5020,S,55769987,346622,32.483521,-91.7502362
22,83,970400,22083970400,9704,Census Tract 9704,G5020,S,352929279,8141442,32.4528653,-91.8826688
22,83,970200,22083970200,9702,Census Tract 9702,G5020,S,222422427,315216,32.4954238,-91.5372454
22,9,30800,22009030800,308,Census Tract 308,G5020,S,160193832,256268,30.8991152,-91.9610601
