"","Neighborhood","pop1970","pov1970","pop1980","pov1980","pop1990","pov1990","pop2000","pov2000","pop2010","pov2010","pop2017","pov2017","pctpov1970","pctpov1980","pctpov1990","pctpov2000","pctpov2010","pctpov2017"
"1","Algiers Point",3765,760,3059,605,2272,876,2409,417,2298,149,2811,300,0.201859229747676,0.197777051323962,0.38556338028169,0.173100871731009,0.0648389904264578,0.106723585912487
"2","Audubon",20667,1771,14125,1820,12599,1787,12666,2266,10814,1943,12187,2174,0.085692166255383,0.128849557522124,0.141836653702675,0.17890415285015,0.179674496023673,0.178386805612538
"3","B.W. Cooper",6063,4595,5263,3469,4741,3961,4337,3000,773,379,870,522,0.757875639122547,0.659129773893217,0.835477747310694,0.691722388747983,0.490297542043984,0.6
"4","Bayou St. John",6591,1653,5983,1578,5000,2165,4878,1567,3327,565,4298,1223,0.250796540737369,0.263747283971252,0.433,0.321238212382124,0.169822663059814,0.284550953932061
"5","Behrman",8216,1072,9521,2522,9748,2956,10509,3508,9097,2119,7792,2418,0.13047711781889,0.264888142001891,0.303241690603201,0.333809115995813,0.232933934264043,0.310318275154004
"6","Black Pearl",2879,1153,2379,608,1797,540,1729,457,1492,266,1738,332,0.400486279958319,0.255569567044977,0.300500834724541,0.264314632735685,0.17828418230563,0.19102416570771
"7","Broadmoor",8643,1104,8267,1480,7293,1759,7174,2280,4278,600,6977,1381,0.127733425893787,0.179025039312931,0.241190182366653,0.317814329523278,0.140252454417952,0.197936075677225
"8","Bywater",8374,2297,6580,1913,5228,2464,5062,1955,3300,804,3700,601,0.274301409123477,0.290729483282675,0.471308339709258,0.386210983800869,0.243636363636364,0.162432432432432
"9","Central Business District",2171,674,2258,1007,1186,480,1620,532,1173,247,2970,781,0.310456011054813,0.445969884853853,0.404721753794266,0.328395061728395,0.210571184995737,0.262962962962963
"10","Central City",42183,21434,32427,15757,23045,13661,18895,9380,11021,4172,14025,6486,0.508119384586208,0.485922225306072,0.592796702104578,0.496427626356179,0.378550040831141,0.462459893048128
"11","City Park",4365,501,3095,400,3059,342,3032,408,2771,306,2809,164,0.114776632302405,0.12924071082391,0.111801242236025,0.134564643799472,0.110429447852761,0.0583837664649341
"12","Desire Dev & Neighborhood",15401,10383,13218,8319,8809,5903,4554,1825,1078,408,2713,1620,0.67417700149341,0.629369042215161,0.670110114655466,0.40074659639877,0.37847866419295,0.597124953925544
"13","Dillard",8147,984,6761,923,6310,879,6114,1258,3514,688,4740,1236,0.120780655455996,0.13651826652862,0.139302694136292,0.205757278377494,0.19578827546955,0.260759493670886
"14","Dixon",4499,1115,2535,729,1901,701,1848,585,1064,448,1647,666,0.247832851744832,0.287573964497041,0.368753287743293,0.316558441558442,0.421052631578947,0.404371584699454
"15","East Carrollton",6118,1190,5200,1069,4475,1129,4363,1069,4330,1203,3923,688,0.194508009153318,0.205576923076923,0.252290502793296,0.245014898005959,0.277829099307159,0.175375987764466
"16","East Riverside",5478,1580,4233,999,3488,1060,3220,1189,2739,734,2756,332,0.288426433004746,0.236002834868887,0.303899082568807,0.369254658385093,0.267981014968967,0.120464441219158
"17","Fairgrounds",7295,1070,7301,1430,6598,1609,6355,1073,4873,1010,5506,1108,0.146675805346127,0.195863580331461,0.243861776295847,0.168843430369788,0.207264518776934,0.201235016345805
"18","Filmore",10874,1604,6834,724,6712,413,6931,802,3171,906,5520,652,0.147507816810741,0.105940883816213,0.0615315852205006,0.115712018467754,0.285714285714286,0.118115942028986
"19","Fischer Development",4826,3515,4140,3387,2960,2681,1846,1629,532,449,1037,600,0.728346456692913,0.818115942028986,0.905743243243243,0.882448537378115,0.843984962406015,0.578592092574735
"20","Florida Area",5236,1797,4754,1164,3662,1484,3163,1146,883,384,1406,488,0.343200916730328,0.244846445098864,0.405243036592026,0.362314258615239,0.434881087202718,0.347083926031294
"21","Florida Development",4136,2984,2758,2080,2583,2394,1548,1232,0,0,0,0,0.72147001934236,0.75416968817984,0.926829268292683,0.795865633074935,NA,NA
