"","Neighborhood","GEOID","pop1970","black1970","pop1980","black1980","pop1990","black1990","pop2000","black2000","pop2010","black2010","pop2017","black2017","pctblk1970","pctblk1980","pctblk1990","pctblk2000","pctblk2010","pctblk2017","group_1970_2000","group_1970_2010","group_2000_2010","group_2010_2017","group_1970_2017","group_2000_2017"
"1","Algiers Point",22071000100,3765,148,3062,559,2272,658,2409,648,2455,592,2811,198,0.0393094289508632,0.182560418027433,0.289612676056338,0.268991282689913,0.241140529531568,0.0704375667022412,"Stable White","Stable White","Stable White","Stable White","Stable White","Stable White"
"2","Audubon",154497082903,20667,603,18255,768,16150,918,14870,783,15865,866,16516,1040,0.029176948758891,0.0420706655710764,0.0568421052631579,0.0526563550773369,0.0545855657106839,0.0629692419472027,"Stable White","Stable White","Stable White","Stable White","Stable White","Stable White"
"3","B.W. Cooper",22071006900,6063,6048,5263,5240,4769,4757,4346,4311,806,741,874,841,0.997525977238991,0.995629868896067,0.997483749213672,0.991946617579383,0.919354838709677,0.962242562929062,"Stable Black","Stable Black","Stable Black","Stable Black","Stable Black","Stable Black"
"4","Bayou St. John",44142008600,6591,2348,6003,3827,5010,3602,4878,3448,3529,1796,4298,1658,0.356243362160522,0.637514576045311,0.718962075848303,0.706847068470685,0.508926041371493,0.385760818985575,"Partially Black to Segregated Black","Other","Stably Integrated","Other","Other","Other"
"5","Behrman",66213001809,8216,1826,10027,6145,9898,6901,10509,8325,8064,6706,7868,6180,0.222249269717624,0.612845317642366,0.697211557890483,0.792178133028832,0.831597222222222,0.785460091509914,"White Flight","White Flight","Partially Black to Segregated Black","Stable Black","White Flight","Stable Black"
"6","Black Pearl",22071012500,2879,1942,2399,1463,1797,922,1735,700,1734,408,1777,376,0.674539770753734,0.609837432263443,0.51307735114079,0.403458213256484,0.235294117647059,0.211592571750141,"Other","Other","Other","Stable White","Other","Other"
"7","Broadmoor",66213033800,8643,2496,8311,4509,7299,4764,7189,5009,5381,3382,6982,3736,0.288788615064214,0.542533991096138,0.652692149609536,0.696758937265266,0.62850771232113,0.535090232025208,"White Flight","White Flight","Other","Other","White Flight","Other"
"8","Bywater",44142002300,8374,1755,6664,3669,5327,3476,5104,3184,3337,1160,3700,924,0.209577262956771,0.550570228091236,0.652524873287028,0.623824451410658,0.347617620617321,0.24972972972973,"White Flight","White Flight","Other","Other","Stable White","Other"
"9","Central Business District",22071013400,2171,343,2697,674,1376,436,1832,584,2276,548,2970,966,0.157991708889912,0.24990730441231,0.316860465116279,0.318777292576419,0.240773286467487,0.325252525252525,"White Flight","Stable White","Other","White Flight","White Flight","Other"
"10","Central City",198639095400,42183,38123,32637,29767,23129,20947,19049,16640,11257,8451,14065,9663,0.903752696583932,0.912062995986151,0.905659561589347,0.873536668591527,0.750732877320778,0.687024528972627,"Stable Black","Stable Black","Stable Black","Other","Other","Other"
"11","City Park",44142984600,4365,148,3109,244,3068,343,3038,452,2708,249,2809,146,0.0339060710194731,0.0784818269540045,0.111799217731421,0.148782093482554,0.0919497784342688,0.0519757920968316,"Stable White","Stable White","Stable White","Stable White","Stable White","Stable White"
