"","year","pctinvpoornbhd","year.fac","Geography"
"1","pctinvpoornbhd1970",0.119,1970,"Metro New Orleans"
"2","pctinvpoornbhd1980",0.082,1980,"Metro New Orleans"
"3","pctinvpoornbhd1990",0.127,1990,"Metro New Orleans"
"4","pctinvpoornbhd2000",0.082,2000,"Metro New Orleans"
"5","pctinvpoornbhd2010",0.051,2010,"Metro New Orleans"
"6","pctinvpoornbhd2017",0.045,2017,"Metro New Orleans"
"7","pctinvpoornbhd1970",0.209,1970,"Orleans Parish"
"8","pctinvpoornbhd1980",0.182,1980,"Orleans Parish"
"9","pctinvpoornbhd1990",0.304,1990,"Orleans Parish"
"10","pctinvpoornbhd2000",0.206,2000,"Orleans Parish"
"11","pctinvpoornbhd2010",0.153,2010,"Orleans Parish"
"12","pctinvpoornbhd2017",0.106,2017,"Orleans Parish"
