"","GEOID","kfr_pooled_pooled_p25","ACS.pctBlack","LE"
"1","22071000100",0.38154164,0.147284122562674,78.4
"2","22071000200",0.31121925,0.83808095952024,73.5
"3","22071000300",0.30259681,0.886986301369863,71.3
"4","22071000400",0.32224023,0.831163708086785,75.6
"5","22071000601",0.25835225,0.990532544378698,71.3
"6","22071000602",0.33021662,0.870407481629927,77.5
"7","22071000603",0.35053957,0.871591908531222,72.9
"8","22071000604",0.33134073,0.804494872354353,73.2
"9","22071000605",0.32938847,0.675221651889874,70.3
"10","22071000606",0.4279713,0.539596757430888,75.8
"11","22071000607",0.47598734,0.520408163265306,80.8
"12","22071000611",0.34714037,0.818084192439863,74.7
"13","22071000612",0.41690502,0.332601536772777,80.8
"14","22071000613",0.33704287,0.877559294546929,72.9
"15","22071000615",0.47858101,0.67705112960761,79.3
"16","22071000616",0.39759049,0.5465495608532,75.3
"17","22071000617",0.36578718,0.832681973619932,73.7
"18","22071000618",0.42273411,0.557594783868631,82.2
"19","22071000701",0.3076154,0.947916666666667,NA
"20","22071000702",0.3300994,0.814975247524752,73.1
"21","22071000800",0.31024253,0.862957937584803,71.7
"22","22071000901",0.30709121,0.902284263959391,NA
"23","22071000902",0.30165213,1,NA
"24","22071000903",0.31243086,0.990783410138249,NA
"25","22071000904",0.29929939,0.914893617021277,66.6
"26","22071001100",0.31988293,0.427912341407151,72.1
"27","22071001200",0.32407999,0.13755980861244,71.4
"28","22071001301",0.30770895,0.747440273037543,68.1
"29","22071001302",0.28316727,0.90587044534413,62.6
"30","22071001401",0.29235476,0.936006168080185,71.3
"31","22071001402",0.31132677,0.876106194690266,68.7
"32","22071001500",0.29915738,0.805194805194805,72.5
"33","22071001600",0.21604462,NA,NA
"34","22071001701",0.35305816,0.936776061776062,78.4
"35","22071001702",0.35476804,0.759354838709677,75.5
"36","22071001720",0.32474378,0.91748031496063,71.4
"37","22071001722",0.32336777,0.928043840838694,73.4
"38","22071001723",0.34444326,0.938333001790332,78.1
"39","22071001724",0.37752029,0.914767331433998,68.8
"40","22071001725",0.35853171,0.918625146886016,77.2
"41","22071001730",0.36509514,0.906438631790744,NA
"42","22071001734",0.45300806,0,NA
"43","22071001735",0.33020535,0.930277913213067,72.7
"44","22071001736",0.33965507,0.955744300402324,NA
"45","22071001737",0.3351391,0.944357611753673,75.3
