"","GEOID","incomeMob.pctile.fac","pctile.range","LE","STATEFP10","COUNTYFP10","kfr_pooled_pooled_p25"
"1","22071000100","3","36 - 41",78.4,"22","071",0.38154164
"2","22071000200","1","22 - 32",73.5,"22","071",0.31121925
"3","22071000300","1","22 - 32",71.3,"22","071",0.30259681
"4","22071000400","1","22 - 32",75.6,"22","071",0.32224023
"5","22071000601","1","22 - 32",71.3,"22","071",0.25835225
"6","22071000602","2","33 - 36",77.5,"22","071",0.33021662
"7","22071000603","2","33 - 36",72.9,"22","071",0.35053957
"8","22071000604","2","33 - 36",73.2,"22","071",0.33134073
"9","22071000605","2","33 - 36",70.3,"22","071",0.32938847
"10","22071000606","4","41 - 46",75.8,"22","071",0.4279713
"11","22071000607","5","46 - 70",80.8,"22","071",0.47598734
"12","22071000611","2","33 - 36",74.7,"22","071",0.34714037
"13","22071000612","4","41 - 46",80.8,"22","071",0.41690502
"14","22071000613","2","33 - 36",72.9,"22","071",0.33704287
"15","22071000615","5","46 - 70",79.3,"22","071",0.47858101
"16","22071000616","3","36 - 41",75.3,"22","071",0.39759049
"17","22071000617","3","36 - 41",73.7,"22","071",0.36578718
"18","22071000618","4","41 - 46",82.2,"22","071",0.42273411
"19","22071000701","1","22 - 32",NA,"22","071",0.3076154
"20","22071000702","2","33 - 36",73.1,"22","071",0.3300994
"21","22071000800","1","22 - 32",71.7,"22","071",0.31024253
"22","22071000901","1","22 - 32",NA,"22","071",0.30709121
"23","22071000902","1","22 - 32",NA,"22","071",0.30165213
"24","22071000903","1","22 - 32",NA,"22","071",0.31243086
"25","22071000904","1","22 - 32",66.6,"22","071",0.29929939
"26","22071001100","1","22 - 32",72.1,"22","071",0.31988293
"27","22071001200","1","22 - 32",71.4,"22","071",0.32407999
"28","22071001301","1","22 - 32",68.1,"22","071",0.30770895
"29","22071001302","1","22 - 32",62.6,"22","071",0.28316727
"30","22071001401","1","22 - 32",71.3,"22","071",0.29235476
"31","22071001402","1","22 - 32",68.7,"22","071",0.31132677
"32","22071001500","1","22 - 32",72.5,"22","071",0.29915738
"33","22071001600","1","22 - 32",NA,"22","071",0.21604462
"34","22071001701","2","33 - 36",78.4,"22","071",0.35305816
"35","22071001702","2","33 - 36",75.5,"22","071",0.35476804
"36","22071001720","1","22 - 32",71.4,"22","071",0.32474378
"37","22071001722","1","22 - 32",73.4,"22","071",0.32336777
"38","22071001723","2","33 - 36",78.1,"22","071",0.34444326
"39","22071001724","3","36 - 41",68.8,"22","071",0.37752029
"40","22071001725","2","33 - 36",77.2,"22","071",0.35853171
"41","22071001730","3","36 - 41",NA,"22","071",0.36509514
"42","22071001734","4","41 - 46",NA,"22","071",0.45300806
"43","22071001735","2","33 - 36",72.7,"22","071",0.33020535
"44","22071001736","2","33 - 36",NA,"22","071",0.33965507
"45","22071001737","2","33 - 36",75.3,"22","071",0.3351391
"46","22071001739","3","36 - 41",75.7,"22","071",0.37253428
