"","Age.Group","Race","Year","Rate"
"1","15-24 years","Total","2000",79.8
"2","15-24 years","Total","2002-2004",80.5666666666667
"3","15-24 years","Total","2005-2007",80.3
"4","15-24 years","Total","2010",70.5666666666667
"5","15-24 years","Total","2011-2013",66.3
"6","15-24 years","Total","2014-2016",69.9666666666667
"7","15-24 years","Total","2018",72.1
"8","25-34 years","Total","2000",103.066666666667
"9","25-34 years","Total","2002-2004",104.8
"10","25-34 years","Total","2005-2007",107.666666666667
"11","25-34 years","Total","2010",104.133333333333
"12","25-34 years","Total","2011-2013",105.4
"13","25-34 years","Total","2014-2016",118.033333333333
"14","25-34 years","Total","2018",130.8
"15","35-44 years","Total","2000",200.133333333333
"16","35-44 years","Total","2002-2004",200.566666666667
"17","35-44 years","Total","2005-2007",190.966666666667
"18","35-44 years","Total","2010",177.166666666667
"19","35-44 years","Total","2011-2013",171.566666666667
"20","35-44 years","Total","2014-2016",182.5
"21","35-44 years","Total","2018",194.95
"22","45-54 years","Total","2000",423.5
"23","45-54 years","Total","2002-2004",430.3
"24","45-54 years","Total","2005-2007",426.566666666667
"25","45-54 years","Total","2010",414.933333333333
"26","45-54 years","Total","2011-2013",407.1
"27","45-54 years","Total","2014-2016",404.766666666667
"28","45-54 years","Total","2018",398.7
"29","55-64 years","Total","2000",989.9
"30","55-64 years","Total","2002-2004",929.733333333333
"31","55-64 years","Total","2005-2007",882.166666666667
"32","55-64 years","Total","2010",858.566666666667
"33","55-64 years","Total","2011-2013",854.533333333333
"34","55-64 years","Total","2014-2016",876.466666666667
"35","55-64 years","Total","2018",886.25
"36","15-24 years","Black, not Hispanic","2000",123.3
"37","15-24 years","Black, not Hispanic","2002-2004",115.333333333333
"38","15-24 years","Black, not Hispanic","2005-2007",114.033333333333
"39","15-24 years","Black, not Hispanic","2010",101.9
"40","15-24 years","Black, not Hispanic","2011-2013",96.1666666666667
"41","15-24 years","Black, not Hispanic","2014-2016",104.533333333333
"42","15-24 years","Black, not Hispanic","2018",109.6
"43","25-34 years","Black, not Hispanic","2000",192.866666666667
