"","LE","GEOID","ACS.majBlack"
"1",73.1,"01001020100",FALSE
"2",76.9,"01001020200",TRUE
"3",75.4,"01001020400",FALSE
"4",79.4,"01001020500",FALSE
"5",73.1,"01001020600",FALSE
"6",78.3,"01001020801",FALSE
"7",76.9,"01001020802",FALSE
"8",73.9,"01001020900",FALSE
"9",74,"01001021000",FALSE
"10",72.2,"01001021100",TRUE
"11",75.2,"01003010100",FALSE
"12",72.9,"01003010200",FALSE
"13",75,"01003010300",FALSE
"14",76,"01003010400",FALSE
"15",78,"01003010500",FALSE
"16",71.8,"01003010600",TRUE
"17",79.6,"01003010701",FALSE
"18",80.1,"01003010703",FALSE
"19",81,"01003010704",FALSE
"20",77.7,"01003010705",FALSE
"21",80.5,"01003010800",FALSE
"22",76.9,"01003010903",FALSE
"23",75.8,"01003010904",FALSE
"24",78.9,"01003010905",FALSE
"25",74.8,"01003010906",FALSE
"26",72.1,"01003011000",FALSE
"27",80,"01003011101",FALSE
"28",78.2,"01003011102",FALSE
"29",78.6,"01003011201",FALSE
"30",80.4,"01003011202",FALSE
"31",82.1,"01003011300",FALSE
"32",78.7,"01003011401",FALSE
"33",78.3,"01003011403",FALSE
"34",77.8,"01003011405",FALSE
"35",78.7,"01003011406",FALSE
"36",79.1,"01003011407",FALSE
"37",78.5,"01003011501",FALSE
"38",75.7,"01003011502",FALSE
"39",74.6,"01003011601",FALSE
"40",75.7,"01005950100",FALSE
"41",72.2,"01005950200",TRUE
"42",75.2,"01005950300",FALSE
"43",76.9,"01005950400",FALSE
"44",71.2,"01005950600",FALSE
"45",73.1,"01005950700",TRUE
"46",73.5,"01005950900",TRUE
"47",70.9,"01007010001",FALSE
"48",74.4,"01007010002",FALSE
"49",75.1,"01007010003",FALSE
"50",73.8,"01007010004",FALSE
"51",77.5,"01009050101",FALSE
"52",75.6,"01009050102",FALSE
"53",76.9,"01009050200",FALSE
"54",77.1,"01009050300",FALSE
"55",73.2,"01009050400",FALSE
"56",75.7,"01009050500",FALSE
"57",77.8,"01009050601",FALSE
"58",77.3,"01009050602",FALSE
"59",73.6,"01009050700",FALSE
"60",78.5,"01011952100",TRUE
"61",76.3,"01011952200",TRUE
"62",78,"01011952500",TRUE
"63",73.8,"01013952700",FALSE
"64",78.1,"01013952800",FALSE
"65",73.2,"01013952900",TRUE
"66",71.2,"01013953000",FALSE
"67",71.4,"01013953100",TRUE
"68",74.1,"01013953200",FALSE
"69",72.7,"01013953300",FALSE
"70",72.6,"01013953400",TRUE
"71",75.6,"01015000200",TRUE
"72",67.1,"01015000300",TRUE
"73",69.9,"01015000400",TRUE
"74",68.3,"01015000600",TRUE
"75",70.1,"01015000700",FALSE
