"","LE_x","GEOID","city","ACS.majBlack","LE"
"1",70.9,1007010001,"Birmingham-Hoover, AL",FALSE,70.9
"2",74.4,1007010002,"Birmingham-Hoover, AL",FALSE,74.4
"3",75.1,1007010003,"Birmingham-Hoover, AL",FALSE,75.1
"4",73.8,1007010004,"Birmingham-Hoover, AL",FALSE,73.8
"5",77.5,1009050101,"Birmingham-Hoover, AL",FALSE,77.5
"6",75.6,1009050102,"Birmingham-Hoover, AL",FALSE,75.6
"7",76.9,1009050200,"Birmingham-Hoover, AL",FALSE,76.9
"8",77.1,1009050300,"Birmingham-Hoover, AL",FALSE,77.1
"9",73.2,1009050400,"Birmingham-Hoover, AL",FALSE,73.2
"10",75.7,1009050500,"Birmingham-Hoover, AL",FALSE,75.7
"11",77.8,1009050601,"Birmingham-Hoover, AL",FALSE,77.8
"12",77.3,1009050602,"Birmingham-Hoover, AL",FALSE,77.3
"13",73.6,1009050700,"Birmingham-Hoover, AL",FALSE,73.6
"14",71.5,1021060101,"Birmingham-Hoover, AL",FALSE,71.5
"15",72.9,1021060102,"Birmingham-Hoover, AL",FALSE,72.9
"16",74.4,1021060200,"Birmingham-Hoover, AL",FALSE,74.4
"17",74.8,1021060300,"Birmingham-Hoover, AL",FALSE,74.8
"18",75.7,1021060401,"Birmingham-Hoover, AL",FALSE,75.7
"19",74.9,1021060402,"Birmingham-Hoover, AL",FALSE,74.9
"20",72.8,1021060500,"Birmingham-Hoover, AL",FALSE,72.8
"21",73.7,1021060600,"Birmingham-Hoover, AL",FALSE,73.7
"22",74.6,1021060700,"Birmingham-Hoover, AL",FALSE,74.6
"23",68.5,1073000300,"Birmingham-Hoover, AL",TRUE,68.5
"24",70.8,1073000400,"Birmingham-Hoover, AL",TRUE,70.8
"25",66.8,1073000500,"Birmingham-Hoover, AL",TRUE,66.8
"26",70.1,1073000700,"Birmingham-Hoover, AL",TRUE,70.1
"27",66.7,1073000800,"Birmingham-Hoover, AL",TRUE,66.7
"28",70.3,1073001100,"Birmingham-Hoover, AL",TRUE,70.3
"29",74.5,1073001200,"Birmingham-Hoover, AL",TRUE,74.5
"30",71,1073001400,"Birmingham-Hoover, AL",TRUE,71
"31",67.6,1073001500,"Birmingham-Hoover, AL",TRUE,67.6
"32",66.6,1073001600,"Birmingham-Hoover, AL",TRUE,66.6
"33",68.8,1073001902,"Birmingham-Hoover, AL",TRUE,68.8
