"","LE_x","GEOID","city","ACS.majBlack","LE","city.fac"
"1",70.9,1007010001,"Birmingham",FALSE,70.9,"Birmingham"
"2",74.4,1007010002,"Birmingham",FALSE,74.4,"Birmingham"
"3",75.1,1007010003,"Birmingham",FALSE,75.1,"Birmingham"
"4",73.8,1007010004,"Birmingham",FALSE,73.8,"Birmingham"
"5",77.5,1009050101,"Birmingham",FALSE,77.5,"Birmingham"
"6",75.6,1009050102,"Birmingham",FALSE,75.6,"Birmingham"
"7",76.9,1009050200,"Birmingham",FALSE,76.9,"Birmingham"
"8",77.1,1009050300,"Birmingham",FALSE,77.1,"Birmingham"
"9",73.2,1009050400,"Birmingham",FALSE,73.2,"Birmingham"
"10",75.7,1009050500,"Birmingham",FALSE,75.7,"Birmingham"
"11",77.8,1009050601,"Birmingham",FALSE,77.8,"Birmingham"
"12",77.3,1009050602,"Birmingham",FALSE,77.3,"Birmingham"
"13",73.6,1009050700,"Birmingham",FALSE,73.6,"Birmingham"
"14",71.5,1021060101,"Birmingham",FALSE,71.5,"Birmingham"
"15",72.9,1021060102,"Birmingham",FALSE,72.9,"Birmingham"
"16",74.4,1021060200,"Birmingham",FALSE,74.4,"Birmingham"
"17",74.8,1021060300,"Birmingham",FALSE,74.8,"Birmingham"
"18",75.7,1021060401,"Birmingham",FALSE,75.7,"Birmingham"
"19",74.9,1021060402,"Birmingham",FALSE,74.9,"Birmingham"
"20",72.8,1021060500,"Birmingham",FALSE,72.8,"Birmingham"
"21",73.7,1021060600,"Birmingham",FALSE,73.7,"Birmingham"
"22",74.6,1021060700,"Birmingham",FALSE,74.6,"Birmingham"
"23",68.5,1073000300,"Birmingham",TRUE,68.5,"Birmingham"
"24",70.8,1073000400,"Birmingham",TRUE,70.8,"Birmingham"
"25",66.8,1073000500,"Birmingham",TRUE,66.8,"Birmingham"
"26",70.1,1073000700,"Birmingham",TRUE,70.1,"Birmingham"
"27",66.7,1073000800,"Birmingham",TRUE,66.7,"Birmingham"
"28",70.3,1073001100,"Birmingham",TRUE,70.3,"Birmingham"
"29",74.5,1073001200,"Birmingham",TRUE,74.5,"Birmingham"
"30",71,1073001400,"Birmingham",TRUE,71,"Birmingham"
"31",67.6,1073001500,"Birmingham",TRUE,67.6,"Birmingham"
"32",66.6,1073001600,"Birmingham",TRUE,66.6,"Birmingham"
"33",68.8,1073001902,"Birmingham",TRUE,68.8,"Birmingham"
"34",71.3,1073002000,"Birmingham",TRUE,71.3,"Birmingham"
"35",72.7,1073002100,"Birmingham",TRUE,72.7,"Birmingham"
"36",71.6,1073002200,"Birmingham",TRUE,71.6,"Birmingham"
"37",71.3,1073002303,"Birmingham",TRUE,71.3,"Birmingham"
"38",77.1,1073002305,"Birmingham",FALSE,77.1,"Birmingham"
"39",80.2,1073002306,"Birmingham",FALSE,80.2,"Birmingham"
"40",73.1,1073002400,"Birmingham",TRUE,73.1,"Birmingham"
"41",69,1073002700,"Birmingham",TRUE,69,"Birmingham"
"42",66.6,1073002900,"Birmingham",TRUE,66.6,"Birmingham"
"43",73.1,1073003001,"Birmingham",TRUE,73.1,"Birmingham"
"44",70.7,1073003002,"Birmingham",TRUE,70.7,"Birmingham"
"45",70.4,1073003100,"Birmingham",TRUE,70.4,"Birmingham"
"46",72.3,1073003200,"Birmingham",TRUE,72.3,"Birmingham"
"47",73.5,1073003300,"Birmingham",TRUE,73.5,"Birmingham"
"48",73.2,1073003400,"Birmingham",TRUE,73.2,"Birmingham"
"49",71.5,1073003500,"Birmingham",TRUE,71.5,"Birmingham"
"50",71.7,1073003600,"Birmingham",TRUE,71.7,"Birmingham"
"51",73.4,1073003700,"Birmingham",TRUE,73.4,"Birmingham"
"52",73.9,1073003802,"Birmingham",TRUE,73.9,"Birmingham"
"53",70.6,1073003803,"Birmingham",TRUE,70.6,"Birmingham"
"54",71.6,1073003900,"Birmingham",TRUE,71.6,"Birmingham"
"55",68,1073004000,"Birmingham",TRUE,68,"Birmingham"
"56",69.4,1073004200,"Birmingham",TRUE,69.4,"Birmingham"
"57",72.8,1073004500,"Birmingham",TRUE,72.8,"Birmingham"
