"","GEOID","FIPS_5","LE","LE_se","city","metroORmicro","ACS.pctBlack","ACS.medInc","ACS.pctBachPlus"
"1","22051020101",22051,76.3,1.4275,"New Orleans-Metairie, LA","Metropolitan Statistical Area",0.0333333333333333,43125,0.286563071297989
"2","22051020102",22051,81.3,1.7616,"New Orleans-Metairie, LA","Metropolitan Statistical Area",0.0103341370995522,62151,0.315334773218143
"3","22051020201",22051,80.2,2.981,"New Orleans-Metairie, LA","Metropolitan Statistical Area",0.104065647146587,54615,0.409112942317014
"4","22051020203",22051,82.1,1.2149,"New Orleans-Metairie, LA","Metropolitan Statistical Area",0.0218866879069123,84826,0.457618025751073
"5","22051020301",22051,81.4,1.4778,"New Orleans-Metairie, LA","Metropolitan Statistical Area",0.0345500139314572,97050,0.492902208201893
"6","22051020302",22051,80.7,1.4222,"New Orleans-Metairie, LA","Metropolitan Statistical Area",0.0225240145743624,82113,0.439116022099448
"7","22051020303",22051,80.3,1.7033,"New Orleans-Metairie, LA","Metropolitan Statistical Area",0.00078003120124805,63354,0.326777087646653
"8","22051020400",22051,80.6,1.2778,"New Orleans-Metairie, LA","Metropolitan Statistical Area",0.00224502886465683,89444,0.579974543911752
"9","22051020502",22051,79.2,2.4135,"New Orleans-Metairie, LA","Metropolitan Statistical Area",0.128063725490196,36719,0.142042637580565
"10","22051020507",22051,79.5,1.3123,"New Orleans-Metairie, LA","Metropolitan Statistical Area",0.0525435872940053,47679,0.239417989417989
"11","22051020508",22051,80.5,2.6705,"New Orleans-Metairie, LA","Metropolitan Statistical Area",0.169930345643317,68735,0.264182118597393
"12","22051020511",22051,80.7,2.044,"New Orleans-Metairie, LA","Metropolitan Statistical Area",0.146689638198376,56389,0.319757056091461
"13","22051020512",22051,78.6,2.4917,"New Orleans-Metairie, LA","Metropolitan Statistical Area",0.0431357839459865,65464,0.366755793226381
"14","22051020513",22051,79.3,1.4262,"New Orleans-Metairie, LA","Metropolitan Statistical Area",0.231494920174165,43514,0.299972655181843
"15","22051020514",22051,82.7,1.8083,"New Orleans-Metairie, LA","Metropolitan Statistical Area",0,95956,0.484827099505999
"16","22051020515",22051,78.2,1.337,"New Orleans-Metairie, LA","Metropolitan Statistical Area",0.132723833543506,64778,0.22991452991453
